" ","HuMoments1","HuMoments2","HuMoments3","HuMoments4","HuMoments5","HuMoments6","HuMoments7","ModelName"
Bone-3.gif,0.944279,0.794079,0.02507,0.0167259,0.000342482,0.0148971,0.000149542,"Bone"
hat-3.gif,0.174077,0.00140698,9.99869e-05,2.61656e-06,4.1459e-11,9.60065e-08,1.69069e-11,"hat"
bat-5.gif,0.310208,0.0459877,0.0126841,0.00107763,-6.34072e-07,-9.55711e-05,-2.05768e-06,"bat"
car-02.gif,0.259527,0.0375126,0.00119442,0.000250051,1.26368e-07,3.67557e-05,-1.15192e-07,"car"
hat-5.gif,0.188356,0.000899397,0.0014798,7.36463e-05,-2.40024e-08,-2.17433e-06,-6.57979e-09,"hat"
device7-2.gif,0.197406,8.81014e-09,5.31308e-10,6.70618e-09,-1.85297e-19,5.93999e-13,-4.85993e-18,"device7"
elephant-7.gif,0.191133,0.00131242,0.000256467,0.000159525,-9.49382e-10,5.25429e-06,-3.91425e-09,"elephant"
fish-4.gif,0.353912,0.0958382,0.0020421,0.001435,2.45449e-06,0.000439379,2.9005e-08,"fish"
deer-5.gif,0.361296,0.0353366,0.00462886,0.000217453,2.02942e-07,3.67866e-05,1.50006e-07,"deer"
key-1.gif,0.329151,0.0569633,0.0243162,0.0102849,0.000162617,0.00245373,-1.28532e-05,"key"
flatfish-6.gif,0.228153,0.0230219,0.00135923,0.000660175,6.25233e-07,0.000100165,-1.15173e-07,"flatfish"
key-6.gif,0.3306,0.0651803,0.0193814,0.0093569,0.000126003,0.0023888,3.66292e-06,"key"
lmfish-5.gif,0.509502,0.229883,0.000154928,1.53829e-05,-7.24577e-10,-7.09357e-06,-3.86315e-10,"lmfish"
fountain-09.gif,0.209711,0.0053176,0.00249094,3.65327e-05,2.34728e-09,-1.705e-06,1.02265e-08,"fountain"
chopper-02.gif,0.194338,0.00496163,0.000902077,4.76171e-05,9.58469e-09,2.50731e-06,6.09018e-09,"chopper"
rat-07.gif,0.27638,0.0241757,0.000760065,0.000633122,2.77485e-07,8.12971e-05,2.70748e-07,"rat"
cup-8.gif,0.19299,0.00677594,0.000357205,1.24716e-05,-6.07519e-10,5.31998e-07,6.02689e-10,"cup"
frog-3.gif,0.184569,0.00481295,0.000314196,9.52287e-06,3.83526e-10,5.06345e-07,-1.90759e-10,"frog"
deer-9.gif,0.310671,0.0332678,0.000689145,0.00010839,1.91378e-08,-1.64631e-05,2.54018e-08,"deer"
fountain-06.gif,0.213749,0.0046632,0.00292939,6.16569e-05,2.19346e-08,-4.04929e-06,-1.06676e-08,"fountain"
device3-2.gif,0.166671,8.94554e-06,1.98856e-06,3.21394e-08,-8.05314e-15,1.19173e-11,-6.8693e-15,"device3"
deer-10.gif,0.312017,0.0306339,0.00391076,4.69211e-05,-1.20374e-08,2.42142e-06,-3.98754e-10,"deer"
spring-5.gif,51.9586,1741.37,3628.42,411.719,76490.7,3229.93,-103139,"spring"
shoe-6.gif,0.236316,0.0252253,0.00198527,0.000377656,3.24887e-07,5.93336e-05,-1.54206e-07,"shoe"
classic-5.gif,0.267232,0.0406052,0.00146231,0.000358021,2.17933e-07,5.20132e-05,1.4998e-07,"classic"
device6-8.gif,0.195241,7.03421e-05,1.11273e-06,3.61305e-06,4.90771e-12,2.28337e-08,-2.74798e-12,"device6"
cup-2.gif,0.185084,0.00152868,0.000723117,1.6064e-05,9.11709e-10,-6.09753e-07,2.14074e-10,"cup"
lmfish-8.gif,0.364862,0.100918,0.00155174,0.00111715,1.47012e-06,0.000349456,1.41818e-06,"lmfish"
pencil-8.gif,1.04978,1.07273,0.0230238,0.0210918,0.00046479,0.0218151,-0.00034732,"pencil"
chicken-4.gif,0.228989,0.00211499,0.00545277,6.19976e-05,-9.80468e-10,1.88554e-06,3.09069e-08,"chicken"
chicken-2.gif,0.215706,0.00494038,0.0030756,5.58112e-05,-2.12027e-08,-2.55331e-06,1.88234e-08,"chicken"
pencil-6.gif,0.859564,0.70852,0.0136508,0.0113732,0.000141688,0.00949379,1.02899e-05,"pencil"
device7-7.gif,0.282353,5.26352e-07,7.12203e-09,6.23854e-08,-3.80417e-16,-1.63126e-11,3.02784e-16,"device7"
car-03.gif,0.259404,0.0363949,0.00167438,0.000276432,1.54546e-07,3.06168e-05,-4.40268e-08,"car"
pencil-5.gif,0.577363,0.30484,0.00674167,0.00524978,3.12304e-05,0.00289452,-6.46172e-06,"pencil"
Heart-1.gif,0.188439,0.00395096,0.00120768,6.23348e-05,-1.08733e-08,-2.55395e-06,-1.29942e-08,"Heart"
device9-3.gif,0.159234,7.37322e-06,2.84875e-08,3.18886e-12,8.91378e-22,5.92174e-15,-3.76801e-22,"device9"
horseshoe-10.gif,0.268755,0.000461628,0.0012303,0.000759557,-7.34054e-07,-1.63195e-05,-2.28504e-08,"horseshoe"
horse-2.gif,0.324865,0.037278,0.00517662,0.000294487,2.12888e-07,5.68569e-05,3.58966e-07,"horse"
bell-6.gif,0.198151,0.00810384,0.00206059,0.000118303,5.767e-08,1.05227e-05,7.92143e-09,"bell"
bat-2.gif,0.443949,0.127733,0.0349201,0.00539656,2.92292e-05,-4.08326e-05,-5.96088e-05,"bat"
bottle-07.gif,0.41567,0.140332,0.0178348,0.0127172,0.000191504,0.00475662,-0.000138552,"bottle"
car-05.gif,0.244919,0.0308479,0.000694889,9.92414e-05,2.05071e-08,9.70609e-06,-9.31579e-09,"car"
Glas-6.gif,0.345362,0.0308476,0.0159745,0.00564146,5.34652e-05,0.000980976,2.22572e-05,"Glas"
sea_snake-3.gif,0.477809,0.105159,0.0191177,0.00273952,6.43929e-07,0.000352976,-4.08849e-07,"sea_snake"
rat-08.gif,0.284459,0.0247616,0.000626208,0.000532012,1.38352e-07,7.56423e-05,-7.86299e-09,"rat"
rat-09.gif,0.216928,0.00227604,5.49182e-06,1.88721e-05,9.07113e-11,3.53503e-07,-1.38122e-10,"rat"
lmfish-3.gif,0.499113,0.218362,0.000683552,9.51352e-05,-1.60596e-10,-1.43774e-05,-2.39085e-09,"lmfish"
bat-3.gif,0.443997,0.127754,0.0349391,0.0054001,2.92899e-05,-4.02828e-05,6.79692e-05,"bat"
jar-4.gif,0.183381,0.00757675,0.000111603,6.89237e-06,1.90091e-10,5.96249e-07,-4.07565e-11,"jar"
Glas-8.gif,0.271925,0.0146208,0.0079099,0.00187784,7.01174e-06,0.00021598,-2.57565e-07,"Glas"
device4-6.gif,0.21532,3.0403e-05,0.00903649,0.000142735,1.62064e-07,3.97333e-07,5.2517e-09,"device4"
apple-7.gif,0.163688,3.29004e-05,0.000103631,5.94132e-06,1.47228e-10,-9.14266e-09,1.11854e-10,"apple"
spring-9.gif,137.052,15236.1,12899.8,25769.6,4.54556e+08,2.77558e+06,2.2093e+08,"spring"
brick-04.gif,0.296161,0.0578454,0.000192574,7.07589e-05,7.85278e-09,1.45592e-05,8.1772e-09,"brick"
shoe-1.gif,0.251948,0.0354394,0.000895857,0.000250061,1.17052e-07,4.58328e-05,-1.05946e-07,"shoe"
Heart-8.gif,0.182049,0.00274304,0.000753056,3.41406e-05,-5.25638e-09,-1.75116e-06,-2.92485e-09,"Heart"
guitar-2.gif,0.352295,0.0764234,0.0357683,0.0237896,0.000693945,0.00657584,-0.000227113,"guitar"
lizzard-7.gif,0.410225,0.100317,0.00308463,0.00303617,7.74226e-06,0.000506399,-8.77516e-06,"lizzard"
device0-7.gif,0.223227,2.08481e-10,9.1645e-10,6.81018e-11,-1.70132e-20,-9.8331e-16,-9.56116e-23,"device0"
tree-7.gif,0.34167,0.0801782,0.000986789,4.91382e-05,-1.32626e-09,5.89143e-07,3.5321e-10,"tree"
chopper-01.gif,0.236116,0.0203368,0.00272016,0.0011293,1.95998e-06,0.000155007,-8.79843e-07,"chopper"
device2-4.gif,0.311434,2.82154e-07,5.1268e-06,1.03669e-06,2.02692e-12,-5.0556e-10,-2.31879e-12,"device2"
face-5.gif,0.183243,0.00742437,0.000153583,1.4005e-05,6.069e-10,1.0786e-06,5.77835e-10,"face"
pocket-2.gif,0.366908,0.0125839,0.00527313,5.94533e-05,-6.05265e-09,-6.6517e-06,3.32841e-08,"pocket"
face-4.gif,0.187433,0.00886421,0.0002051,2.25837e-05,1.49977e-09,2.0303e-06,1.0017e-09,"face"
cattle-6.gif,0.286302,0.0321628,0.000910274,1.32408e-05,7.12555e-11,-2.33824e-06,-1.28675e-10,"cattle"
horseshoe-3.gif,0.571827,0.00591099,0.00986625,0.0100101,-9.88962e-05,-0.000761791,-2.21532e-06,"horseshoe"
guitar-7.gif,0.29033,0.0381864,0.0213033,0.0117924,0.000186901,0.00230325,-0.000181927,"guitar"
turtle-7.gif,0.226292,0.0208685,0.000396578,0.000143296,3.0337e-08,1.75483e-05,-3.20568e-08,"turtle"
device9-1.gif,0.159998,5.07428e-07,2.40685e-08,7.10675e-09,-9.28385e-17,-5.06214e-12,-1.3574e-17,"device9"
rat-05.gif,0.272929,0.021767,0.000754857,0.000514145,1.36669e-07,6.46816e-05,3.07808e-08,"rat"
face-8.gif,0.184392,0.00797904,0.000139026,1.70876e-05,8.20029e-10,1.47302e-06,5.0751e-10,"face"
rat-01.gif,0.287352,0.0252914,0.00111061,0.000866552,5.61963e-07,0.000119634,6.9708e-08,"rat"
truck-06.gif,0.217542,0.0157497,0.000989866,6.10976e-05,-2.99248e-09,-3.12134e-06,1.37205e-08,"truck"
device3-9.gif,0.181425,4.51114e-06,7.19993e-07,3.10942e-07,1.3522e-13,6.55262e-10,-1.3994e-13,"device3"
bell-2.gif,0.183452,0.00266161,0.00167554,1.04581e-05,1.20554e-09,4.90713e-07,3.51953e-10,"bell"
spoon-9.gif,0.79267,0.577184,0.0874971,0.0761262,0.00621151,0.0573987,-0.00127512,"spoon"
frog-7.gif,0.199826,0.00662145,0.00159262,0.00015192,7.16104e-08,1.21864e-05,5.84634e-08,"frog"
dog-3.gif,0.626961,0.0448991,0.0974792,0.00225468,1.39473e-05,6.87801e-05,-3.27664e-05,"dog"
brick-05.gif,0.250461,0.0340158,1.45819e-05,1.38718e-06,-6.23638e-12,-2.55805e-07,1.88861e-12,"brick"
fountain-03.gif,0.219474,0.00401288,0.00448161,6.17878e-05,2.94182e-08,-3.76791e-06,-1.49683e-08,"fountain"
apple-2.gif,0.160015,1.93468e-05,1.2144e-05,9.47731e-08,9.91125e-14,-3.99907e-10,9.0594e-14,"apple"
device9-6.gif,0.182741,9.03336e-06,5.79949e-07,3.36122e-07,5.32229e-14,-1.89827e-10,6.39422e-14,"device9"
dog-7.gif,0.592484,0.0635123,0.0650151,0.00308013,2.06516e-05,6.21951e-05,-4.35594e-05,"dog"
deer-8.gif,0.310671,0.0332678,0.000689145,0.00010839,1.91378e-08,-1.64631e-05,-2.54018e-08,"deer"
lmfish-1.gif,32.1279,733.046,665.77,379.906,190821,9599.31,-164416,"lmfish"
hammer-6.gif,0.569608,0.226649,0.0955476,0.0453108,0.00298077,0.0215286,-0.000368463,"hammer"
beetle-2.gif,0.22227,0.00183205,0.000570706,3.15504e-05,4.11996e-09,1.33213e-06,1.09352e-09,"beetle"
truck-08.gif,0.213263,0.0157257,0.000514249,3.42361e-05,6.3964e-10,-4.36303e-07,2.58739e-09,"truck"
pocket-6.gif,0.253437,0.00750147,0.00298639,0.000496714,6.00624e-07,4.28561e-05,-1.41546e-07,"pocket"
cellular_phone-3.gif,0.348867,0.0923975,0.000311531,4.13946e-05,-2.54534e-09,-9.17674e-06,-3.08603e-09,"cellular_phone"
tree-4.gif,0.238021,0.0126717,0.00158428,5.63823e-06,5.31653e-10,6.31536e-07,-2.48569e-11,"tree"
device4-2.gif,0.201101,0.000141122,0.00554255,0.000154496,7.22598e-08,1.25688e-06,-1.42875e-07,"device4"
fly-7.gif,0.302416,0.000925198,0.0182875,4.91134e-05,3.51532e-08,-8.32203e-07,-4.41524e-08,"fly"
Misk-9.gif,0.187058,0.00320355,5.35557e-05,1.3664e-05,-6.23788e-11,4.87833e-07,3.69628e-10,"Misk"
device8-5.gif,0.283003,0.000735273,0.0214374,0.000159464,1.04203e-07,4.26487e-06,-2.89166e-07,"device8"
teddy-01.gif,0.18308,0.00131621,0.00115653,4.99347e-06,3.08146e-10,1.31081e-07,-2.56561e-10,"teddy"
hat-8.gif,0.201158,0.00710006,0.00260729,0.000184745,-5.15438e-08,-9.3221e-06,1.24914e-07,"hat"
chicken-5.gif,0.229021,0.00212154,0.00545591,6.20207e-05,-9.75611e-10,1.88749e-06,6.41243e-10,"chicken"
device5-10.gif,0.24917,9.96391e-05,5.98266e-05,6.4194e-06,6.56433e-11,-5.67276e-08,7.65789e-11,"device5"
teddy-04.gif,0.184663,0.00140724,0.00121452,6.76869e-06,5.79706e-10,2.24859e-07,-3.29763e-10,"teddy"
personal_car-9.gif,0.240723,0.0301051,0.000674626,0.000109679,1.86028e-08,7.26762e-06,6.55337e-09,"personal_car"
bell-1.gif,18.4624,30.8473,1682.63,17.1717,2909.66,94.8243,-595.763,"bell"
fish-1.gif,29.4599,591.195,150.093,23.2201,734.496,105.918,-362.263,"fish"
device6-6.gif,0.161888,8.70066e-06,1.04637e-08,1.09173e-08,1.90644e-17,-3.08615e-11,-1.096e-16,"device6"
Glas-3.gif,0.329678,0.0252884,0.0148263,0.00511282,4.42963e-05,0.00080305,3.09984e-06,"Glas"
teddy-05.gif,0.18436,0.00109618,0.00112312,2.90172e-06,5.51152e-11,7.63675e-08,1.58043e-10,"teddy"
butterfly-5.gif,0.206647,0.00606964,0.0016958,0.000152957,-7.78635e-08,-1.19139e-05,-7.18773e-08,"butterfly"
watch-5.gif,0.463228,0.184344,0.00446562,0.00354729,1.41184e-05,0.00152304,-7.41096e-07,"watch"
car-07.gif,0.245929,0.0308953,0.000911095,0.000131211,3.24051e-08,1.05907e-05,-1.33355e-08,"car"
device5-8.gif,0.353607,1.29026e-06,4.31996e-05,2.31271e-05,7.24001e-10,-2.43597e-08,-3.94827e-10,"device5"
beetle-5.gif,0.244357,0.00526733,0.000976804,2.9592e-06,1.32252e-10,1.96722e-07,-8.31248e-11,"beetle"
rat-04.gif,0.277606,0.022821,0.000434705,0.000335459,7.03797e-09,3.94871e-05,2.45026e-09,"rat"
car-10.gif,0.234019,0.0256939,0.000748523,0.000102827,2.41133e-08,9.97463e-06,-8.31787e-09,"car"
bird-2.gif,0.253495,0.0224253,0.00425402,0.000166866,1.24059e-07,5.28789e-06,2.98256e-08,"bird"
carriage-07.gif,0.411032,0.116336,0.00114188,0.000855583,8.45592e-07,0.000290449,5.86324e-07,"carriage"
butterfly-6.gif,0.206618,0.00606871,0.00169295,0.000152564,-7.74946e-08,-1.1882e-05,6.17551e-08,"butterfly"
fly-4.gif,0.231933,0.00303778,0.00401718,6.33009e-07,-2.57586e-11,2.53095e-08,-2.1991e-11,"fly"
flatfish-5.gif,0.227698,0.0232632,0.000678931,0.000317385,1.47322e-07,4.56101e-05,-1.28659e-07,"flatfish"
sea_snake-2.gif,0.663398,0.172195,0.0521378,0.0108236,0.000234462,0.00427217,0.000248639,"sea_snake"
turtle-5.gif,0.224274,0.0164424,0.00163255,0.000221733,-4.59201e-09,-3.45732e-06,6.52854e-08,"turtle"
Misk-10.gif,0.187302,0.00292391,7.59829e-05,4.04187e-06,-1.21921e-11,-3.02528e-08,-2.18486e-11,"Misk"
apple-3.gif,0.168129,0.000151455,0.000285417,2.37815e-05,1.95815e-09,1.83701e-07,1.79505e-09,"apple"
fountain-07.gif,0.204665,0.00530056,0.00199184,2.20053e-05,3.58153e-09,-1.44683e-06,2.84447e-09,"fountain"
bottle-03.gif,0.372177,0.110973,0.00314519,0.00199156,4.98433e-06,0.000663184,3.44748e-06,"bottle"
chopper-05.gif,0.194013,0.00509927,0.000821014,9.25055e-05,2.21621e-08,6.25315e-06,2.22077e-09,"chopper"
horse-7.gif,0.360148,0.0570013,0.0149217,0.00244358,1.44514e-05,0.000538487,4.14541e-06,"horse"
personal_car-10.gif,0.254194,0.0365636,0.000917045,0.000147221,2.86131e-08,6.77225e-06,2.43344e-08,"personal_car"
device6-2.gif,0.506347,1.14398e-05,7.26602e-05,0.000156367,-1.57988e-08,-5.03893e-07,1.62996e-08,"device6"
hat-10.gif,0.216798,0.0182197,0.00126409,7.43861e-05,-2.22197e-08,-9.8584e-06,5.21656e-09,"hat"
dog-10.gif,0.298143,0.0351477,0.00298499,0.000120999,7.23421e-08,1.58314e-05,-3.91806e-08,"dog"
device8-10.gif,0.382627,0.011472,0.066385,0.000403463,-2.08562e-06,-4.26354e-05,-2.81078e-08,"device8"
device9-2.gif,0.185492,0.000325822,8.68795e-07,1.35159e-06,-3.48379e-13,1.10799e-09,-5.55239e-13,"device9"
hammer-8.gif,0.414118,0.0849172,0.0502567,0.0175815,0.000521927,0.00510163,8.14297e-05,"hammer"
chicken-7.gif,0.2136,0.00427781,0.00397771,0.000152165,-1.08437e-07,-9.92525e-06,7.79709e-08,"chicken"
device7-10.gif,0.19937,6.87917e-07,5.34919e-07,2.02786e-08,2.11146e-15,-2.27984e-12,2.07738e-15,"device7"
watch-7.gif,0.594016,0.323457,0.00236545,0.000833064,1.04939e-06,0.000271711,-8.05451e-07,"watch"
cellular_phone-10.gif,0.26043,0.0395761,0.000217664,6.63385e-05,7.13685e-09,7.26065e-06,3.17747e-09,"cellular_phone"
device7-8.gif,0.27762,1.24911e-06,4.21414e-09,5.97083e-08,2.55023e-16,-2.98015e-11,-7.38398e-16,"device7"
bell-4.gif,0.193682,0.00560276,0.00202661,5.7565e-05,1.96054e-08,4.30567e-06,4.49891e-09,"bell"
key-2.gif,0.265169,0.0324282,0.00905466,0.00391825,2.33361e-05,0.000705399,3.76192e-06,"key"
spring-7.gif,106.605,8984.12,319.047,980.459,295313,85688,542546,"spring"
bat-4.gif,0.310216,0.0459879,0.0126876,0.00107705,-6.40945e-07,-9.58458e-05,3.9809e-06,"bat"
pocket-1.gif,0.305455,0.0100848,0.00288806,0.000116986,6.05262e-08,1.1176e-05,-3.81531e-08,"pocket"
device9-7.gif,0.166526,5.45115e-05,5.32718e-07,2.11816e-07,1.23666e-14,1.10343e-09,4.54898e-14,"device9"
carriage-10.gif,0.390427,0.0995726,0.0062074,0.0039976,1.97891e-05,0.00123756,1.64286e-05,"carriage"
Bone-8.gif,0.932766,0.735637,0.0620974,0.0322735,0.00138897,0.0216966,0.00114544,"Bone"
device8-3.gif,0.236366,0.000104999,0.010997,7.62368e-05,-3.18069e-08,6.96863e-07,-4.55707e-08,"device8"
device6-7.gif,0.468523,0.000119836,0.000185613,0.000338517,-3.83958e-08,2.8422e-06,-7.16309e-08,"device6"
pocket-8.gif,0.266489,0.0148122,0.00344069,0.000644466,9.59053e-07,7.83888e-05,-6.7006e-09,"pocket"
beetle-6.gif,0.244484,0.00528819,0.00097841,3.03154e-06,1.30353e-10,1.97525e-07,1.64192e-10,"beetle"
bat-6.gif,0.427648,0.0790756,0.061107,0.00938751,0.000108987,-1.66561e-05,-8.79786e-05,"bat"
fork-2.gif,65.688,3055.11,191188,99285.8,1.36635e+10,5.43336e+06,-5.63001e+09,"fork"
ray-8.gif,0.184786,0.000491808,0.000498422,0.000187317,5.7134e-08,2.88624e-06,-5.28145e-08,"ray"
device3-6.gif,0.162025,7.46132e-06,2.38841e-06,3.16677e-08,7.54245e-15,-4.32168e-11,8.26561e-15,"device3"
bell-5.gif,0.196872,0.00576857,0.0022377,5.74264e-05,1.88032e-08,4.07688e-06,7.21158e-09,"bell"
pencil-2.gif,0.925524,0.8295,7.52209e-05,1.70688e-05,3.92158e-10,5.15928e-06,5.04642e-10,"pencil"
deer-6.gif,0.322336,0.0217038,0.000697572,0.000141734,3.22915e-08,1.71656e-05,3.75714e-08,"deer"
HCircle-10.gif,0.193798,0.00923752,0.000923239,4.68224e-05,-8.80458e-09,-4.06326e-06,7.36046e-09,"HCircle"
children-5.gif,0.323624,0.0767381,0.000470956,0.000304362,1.152e-07,8.36607e-05,8.06241e-08,"children"
spring-1.gif,51.9586,1741.37,3628.42,411.719,76490.7,3229.93,-103139,"spring"
hammer-5.gif,0.569608,0.226649,0.0955476,0.0453108,0.00298077,0.0215286,0.000368463,"hammer"
bottle-09.gif,0.400601,0.130092,0.0107998,0.00728567,6.46099e-05,0.00261558,-5.12986e-05,"bottle"
lmfish-9.gif,0.422912,0.151598,0.000518731,0.000224901,7.42363e-08,6.36405e-05,3.32292e-08,"lmfish"
face-2.gif,0.188999,0.00956009,0.000217317,2.40683e-05,1.69678e-09,2.2577e-06,1.07225e-09,"face"
chopper-10.gif,0.208868,0.0105105,0.00117958,0.000487486,3.51299e-07,4.97508e-05,-1.4382e-07,"chopper"
spoon-10.gif,0.79267,0.577184,0.0874971,0.0761262,0.00621151,0.0573987,-0.00127512,"spoon"
hat-4.gif,0.183572,3.23201e-05,0.00068954,4.96374e-05,-8.98964e-09,2.73809e-07,-1.94672e-09,"hat"
dog-8.gif,0.276746,0.0272745,0.00196186,6.21261e-05,-1.99855e-08,-9.55181e-06,4.57914e-09,"dog"
Bone-10.gif,0.859995,0.64549,0.0672202,0.0507535,0.00296444,0.0407696,0.00142613,"Bone"
brick-03.gif,0.25478,0.0355932,1.46846e-06,6.51526e-07,6.32673e-13,1.17723e-07,-2.2883e-13,"brick"
cattle-10.gif,0.240558,0.019834,0.000784726,3.16946e-05,2.81458e-09,4.42582e-06,4.8918e-09,"cattle"
device5-9.gif,0.22654,0.000142107,5.84359e-05,5.41023e-06,-2.9659e-11,-6.44904e-08,6.32688e-11,"device5"
carriage-06.gif,0.407162,0.111006,0.00127922,0.00112231,1.3447e-06,0.000368023,-2.01872e-07,"carriage"
Bone-6.gif,0.943065,0.79982,0.0228984,0.0157817,0.000300007,0.014114,0.000157738,"Bone"
crown-8.gif,0.218968,0.0162463,0.000171231,3.16132e-05,-2.31388e-09,-4.0206e-06,3.15306e-10,"crown"
cup-9.gif,0.179977,0.00158991,0.000508204,8.41792e-06,-2.70826e-10,-1.56852e-07,4.7722e-10,"cup"
bottle-10.gif,0.343338,0.0895019,0.00425368,0.00244944,7.90453e-06,0.00073069,6.67164e-06,"bottle"
Comma-4.gif,0.220441,0.0175091,0.00112096,0.000238057,6.93329e-08,4.86884e-06,1.17343e-07,"Comma"
fly-2.gif,0.29603,0.0224178,0.00693962,0.000201932,2.35884e-07,2.30848e-05,2.23209e-07,"fly"
cattle-8.gif,0.256424,0.0212927,0.00119274,9.47945e-05,-5.18181e-09,6.34083e-06,-9.45294e-09,"cattle"
key-10.gif,0.311889,0.0487718,0.0209188,0.00964152,0.000136858,0.00212557,2.25829e-05,"key"
device4-5.gif,0.23921,0.000188803,0.0114296,2.13703e-06,3.3392e-10,1.18061e-08,2.98102e-12,"device4"
flatfish-10.gif,0.208363,0.0142671,0.000534705,0.000252634,9.25937e-08,2.97811e-05,2.7405e-08,"flatfish"
device8-1.gif,0.235828,5.46838e-05,0.0114072,6.36263e-05,4.33388e-08,1.32883e-07,-2.90899e-08,"device8"
flatfish-1.gif,0.204455,0.0125648,0.000279691,0.000133999,2.59317e-08,1.41327e-05,-2.42927e-08,"flatfish"
classic-10.gif,0.233245,0.0270855,0.000249584,3.49076e-05,2.16657e-09,2.86254e-06,-2.90596e-09,"classic"
cellular_phone-4.gif,0.275623,0.0472189,0.000237084,6.72775e-05,7.36764e-09,6.282e-06,2.5373e-10,"cellular_phone"
hat-6.gif,0.169109,0.00175917,7.72012e-05,3.71393e-06,6.22573e-11,1.51801e-07,-2.1718e-11,"hat"
butterfly-7.gif,0.267715,0.0245371,0.00544979,0.00038543,-4.62903e-07,-5.49037e-05,-5.18585e-07,"butterfly"
frog-9.gif,0.207088,0.00595398,0.000376662,8.64981e-05,6.24165e-09,6.01133e-06,1.52342e-08,"frog"
ray-4.gif,0.197681,0.000992903,0.000990403,0.000515255,3.67889e-07,1.62128e-05,-3.34207e-07,"ray"
fly-10.gif,0.222746,0.00387814,0.00372349,2.67634e-06,1.24986e-10,1.63804e-07,-8.94059e-11,"fly"
bird-7.gif,0.298032,0.0417098,0.00875774,0.000498659,-9.97338e-07,-9.61023e-05,-8.93687e-07,"bird"
pocket-9.gif,0.284091,0.00562616,0.00144588,1.08348e-05,1.30808e-09,8.03978e-07,3.89632e-10,"pocket"
watch-1.gif,0.500072,0.219941,0.00320367,0.00234716,6.43448e-06,0.00107568,2.90745e-06,"watch"
device9-10.gif,0.173429,6.73156e-05,2.1735e-08,8.16994e-09,-3.77128e-17,-3.18339e-11,1.06371e-16,"device9"
shoe-3.gif,0.244642,0.0299205,0.00182547,0.000467476,4.31562e-07,8.08373e-05,-4.09411e-07,"shoe"
fish-2.gif,0.342424,0.0889233,8.85097e-05,6.51364e-05,4.94491e-09,1.9068e-05,5.0818e-10,"fish"
lizzard-4.gif,0.305972,0.0289826,0.000205665,0.000709338,-1.98186e-07,-4.10759e-05,-2.61663e-07,"lizzard"
device4-4.gif,0.19344,8.94681e-05,0.00430905,1.65002e-05,-1.66258e-09,-1.11286e-07,4.24291e-09,"device4"
beetle-3.gif,0.205046,0.0002759,0.000342039,0.000132503,-2.80343e-08,2.20061e-06,-1.42584e-08,"beetle"
Misk-3.gif,0.174876,0.00266035,2.51074e-05,2.30007e-07,2.90147e-13,3.85261e-09,-5.3269e-13,"Misk"
