" ","Values0","Values1","Values2","Values3","Values4","Values5","Values6","Values7","Values8","Values9","Values10","Values11","Values12","Values13","Values14","Values15","Values16","Values17","Values18","Values19","Values20","Values21","Values22","Values23","Values24","ClassName"
turtle-18.gif,18989.1,4576.34,4483.67,544.877,2941.44,5536.74,4283.36,748.22,5161.01,845.992,3023.85,1954.31,891.249,381.818,1863.71,1567.13,2070.07,308.088,130.819,478.523,946.194,1780.09,199.959,700.71,744.75,"turtle"
beetle-13.gif,25990.2,5501.25,506.731,38.1962,2405.81,248.887,8973.12,3263.15,3838.63,414.803,2447.38,832.509,40.3174,551.281,346.587,111.241,1918.52,472.236,762.401,1001.23,1318.8,111.966,372.991,297.943,461.996,"beetle"
device1-17.gif,153055,1216.42,260.969,5418.5,36923.2,69913.2,1049.2,380.007,1583.57,20287.9,11095.8,81.785,1224.25,3524.25,340.651,4551.27,1510.09,63.1874,1762.37,664.292,2371.91,558.163,985.109,1537.58,771.184,"device1"
octopus-15.gif,58244,26613.7,3713.22,431.694,1637.61,1112.15,1488.83,352.934,2120.51,1356.53,945.284,876.637,446.106,202.453,717.829,335.542,466.16,632.028,431.112,275.486,539.116,48.3671,19.1874,96.7763,462.929,"octopus"
bottle-20.gif,96987.1,28945.8,13860.4,3775.87,1730.56,3157.1,1938.25,1396.42,2437.7,4774.22,1071.72,1509.52,2542.6,981.956,404.875,666.796,4.51929,485.151,535.917,617.749,9.22779,604.384,13.9945,179.64,52.4765,"bottle"
carriage-19.gif,93007.1,10173.8,16753.3,806.823,3880.87,1928.74,5171.53,5935.42,2532.06,264.634,2771.06,213.401,65.1819,1635.87,2070.98,215.008,1771.95,993.222,247.233,462.84,263.064,524.164,286.218,930.473,823.168,"carriage"
octopus-20.gif,32698.2,4948.63,2885.66,596.88,5111.88,5036.86,7511.53,3770.27,5477.51,1961.67,5521.5,4307.18,2838.81,3092.86,1967.43,2196.05,1585.28,919.111,176.691,1430.37,1033.2,1512.4,352.695,33.5572,63.4224,"octopus"
device2-14.gif,175081,20591.4,5.6978,8574.99,26719,2274.71,37828.6,8572.72,15041,6286.05,7043.94,1368.31,93.517,5031.64,7350.6,88.1944,3146.79,1807.94,1197.56,1590.97,3694.52,131.687,392.713,34.8258,2576.38,"device2"
camel-19.gif,85584.6,1443.58,6937.99,865.159,12787.3,16757.3,14920.3,1962.26,12572.8,1193.69,3101.69,420.01,1649.83,836.602,1888.16,1542.47,2108.25,701.588,696.09,2455.54,18.1363,1453.24,95.8682,752.767,359.927,"camel"
key-15.gif,98286.4,35629.9,23232.2,11920.4,1344.09,24554.5,24249.4,3359.6,17295.1,10524.7,146.35,7621.78,1070.74,327.812,3954.93,499.04,2901.72,94.4565,1089.05,5.24033,271.497,123.831,384.258,562.182,992.879,"key"
horseshoe-13.gif,23156.2,2140.28,1929.63,588.46,3244.28,2666.36,631.904,3651.71,2200.45,2046.52,1753.98,4332.43,1753.75,3143.39,1555.35,671.945,495.345,528.28,37.0872,711.55,37.5169,479.56,785.411,521.555,641.147,"horseshoe"
shoe-15.gif,56948.2,32445.8,7062.95,14735.8,409.012,25149.3,21476.2,9960.18,430.648,1595.27,4571.57,3737.74,4103.59,7002.86,9441.74,970.814,614.53,811.737,1448.32,4202.26,1683.22,164.608,682.832,123.151,949.388,"shoe"
fork-19.gif,283719,14155.2,43642.5,6299.85,31911.3,12053,7023.25,18847.7,3735.61,11510.9,1794.34,1599.78,8814.96,9059.08,2821.58,2662.46,3641.44,110.294,478.716,3352.55,1477.13,994.168,2475.25,1533.74,3101.95,"fork"
octopus-13.gif,48261.6,10263.5,1146.07,930.419,8835.2,11419.6,5175.97,2041.97,3146.91,2607.82,948.19,2318.2,359.356,672.162,638.29,425.142,1601.7,149.577,165.069,1061.54,1698.51,2535.44,162.54,2582.51,1001.48,"octopus"
device2-18.gif,214894,40238.3,4566.07,12203.3,28357.3,6018.7,34496.4,16298.4,6552.39,7418.03,10021.2,3440.62,6503.22,3332.7,6234.21,902.193,1419.12,211.546,1102.47,3381.77,3485.87,1521.6,339.259,2215.88,4341.09,"device2"
horse-17.gif,67723.2,25175.7,7183.98,1141.77,5210.8,11590.3,14960.5,4533.9,11406.6,3013.92,19.8948,5581.63,990.712,3298.99,2006.5,535.424,1798.42,286.799,426.625,998.439,991.99,12.5936,1086.07,785.293,2294.07,"horse"
Heart-20.gif,72094.2,10299.4,7141.14,23577.9,10039.5,606.269,26200.8,1068.92,4461.37,16480.9,10542.7,9626.5,5806.56,4652.18,1678.87,5717.94,4692.46,1140.14,2583.4,4254.93,799.671,1038.35,981.276,3481.23,1079.04,"Heart"
guitar-16.gif,31266.1,26794.4,15856.7,4043.04,3799.6,2271.81,4528.27,5037.61,3518.85,994.72,4134.64,1938.43,426.285,358.505,1091.46,2046.53,3128.77,3663.93,3644.53,3092.71,697.593,137.023,800.198,1254.98,1500.41,"guitar"
HCircle-18.gif,10848.1,891.654,7091.41,1050.06,1369.1,1161.26,3216.63,314.407,3879.89,864.591,97.9626,916.796,397.033,914.172,46.8532,134.54,180.212,94.5259,141.041,590.124,478.587,61.1128,273.325,5.57239,506.261,"HCircle"
car-12.gif,89666.5,20519.2,10067.4,2869.95,1433.59,161.7,1322.98,3605.91,740.279,3992.5,1894.65,1299.96,601.625,993.48,858.804,1221.96,243.331,34.2026,31.4253,902.654,219.98,58.2911,320.602,127.571,112.123,"car"
fly-12.gif,32196.3,8367.46,2023.78,573.292,6223.7,2090.16,8393.03,1566.88,832.348,1578.91,2773.01,423.08,1773.74,1250.86,2024.98,1215.6,474.54,27.1141,808.694,35.7289,544.074,921.843,294.163,100.04,18.7849,"fly"
sea_snake-12.gif,106702,22177.6,3247.11,2649.48,17560.7,12952,10711.7,11651.7,564.335,6940.66,339.717,1706.42,4177.95,4861.69,2370.34,2214.08,696.244,831.823,3503.45,1598.82,929.956,1326.24,294.224,453.86,422.824,"sea_snake"
watch-11.gif,97223.5,33243,36357.5,19830,14245,9722.14,7845.15,6601.84,493.277,2521.53,2931.73,723.041,127.684,780.469,176.464,857.454,519.197,481.234,138.98,736.388,411.009,1489.84,628.752,1235.91,407.259,"watch"
carriage-12.gif,93258.1,8717.94,14409.9,2146.74,3405.83,3174.92,1130.34,2647.46,2647.39,213.346,1421.89,56.8564,744.535,545.279,261.183,1080.26,332.784,281.18,541.923,28.749,579.152,93.0518,175.459,609.386,71.3933,"carriage"
personal_car-20.gif,66328.2,31717.8,16573.8,18645.8,482.407,25461.6,22159.7,6247.44,8792.7,10995.7,6204.72,6428.72,1721.66,3118.41,857.331,619.463,2694.9,1939.97,725.523,77.6029,216.574,981.423,855.793,9.09939,1212.01,"personal_car"
stef-13.gif,82577.4,34550.1,18708.8,14512.1,8024,111.824,56.5955,957.653,359.59,210.084,407.722,881.399,147.526,313.942,27.28,268.975,280.372,294.784,5.04712,220.54,217.119,78.7233,20.5429,49.6249,301.348,"stef"
carriage-17.gif,92414,6934.58,15962.5,862.709,3849.72,2195.36,153.506,407.377,1869.87,994.182,1503.32,448.246,577.25,1089.18,83.0738,1142.67,75.1517,32.79,826.929,110.309,72.5935,578.419,463.147,848.375,295.271,"carriage"
octopus-12.gif,44031.4,1792.37,1305.02,159.268,9518.57,10404.9,676.497,312.148,853.761,6284.37,1057.67,643.455,347.7,1482.33,1368.33,1027.72,596.527,820.173,1204.12,1401.5,777.124,460.304,127.247,331.255,1197.62,"octopus"
turtle-13.gif,179891,14787.9,13410.3,7542.1,25822.5,48714,15023.4,2775.85,3527.23,2017.27,1388.86,2217.76,7106.45,7633.03,6465.9,2023.48,4902.23,326.651,2982.58,1408.3,1930.58,1001.07,341.116,1225,1081.56,"turtle"
bat-18.gif,157445,85808.2,12016.1,26859.9,6930.06,25790.4,23819.1,18035.2,72.0867,3795.43,10060.1,6312.37,4017.88,8657.86,3011.74,8050.79,9794.4,3707.79,915.603,4103.54,1632.57,1955.17,1565.95,864.067,1298.43,"bat"
device2-15.gif,162168,1876.87,0.0692951,445.301,24361.9,78375.7,1202.26,40.1115,2099.6,10007.5,7231.23,54.6139,67.5628,2457.33,3347.69,8627.83,571.346,45.4846,935.412,1938.15,4453.51,823.215,63.6125,1267.17,3320.55,"device2"
device5-11.gif,188053,1282.23,1758.67,17449.4,78122,63154.3,15886.4,677.147,3411.84,4244.39,6591.87,14077,421.57,5349.2,10668.7,652.402,9905.8,844.083,289.96,810.503,2404.05,4809.45,469.666,567.213,2477.41,"device5"
deer-18.gif,237440,73732.4,29706.1,16628.8,33799.6,26299.8,59469.2,15415.8,32765.1,8319.78,10991,4692.52,15281.5,5597.2,8582.06,6268.17,12008,5196.52,34.0908,2816.95,4329.07,3264.73,1114.29,1448.66,14953.4,"deer"
hammer-13.gif,59427.1,17600.5,3950.81,236.569,7365.86,224.11,149.178,955.71,2246.4,3872.5,519.696,1815.44,181.63,533.422,433.321,553.631,583.174,113.911,186.237,398.013,764.912,10.3027,126.87,135.171,654.485,"hammer"
horseshoe-19.gif,6417.28,1037.01,357.224,206.046,848.414,350.356,562.072,292.667,290.137,95.7148,156.285,88.5853,145.681,186.144,290.695,13.9259,116.43,63.2907,349.595,170.913,207.924,126.786,502.057,94.1057,172.311,"horseshoe"
butterfly-20.gif,96037.2,45028.9,16351.6,20975.9,2437.79,1052.66,8075.88,10254.7,1967.32,5493.3,2815.57,62.3005,4363.25,3365.8,11537.2,3485.36,3250.88,182.626,1181.03,218.496,4966.54,901.632,372.969,1246.53,1244.78,"butterfly"
jar-17.gif,138613,6563.67,18531.3,1231.26,38954.6,82245.5,2893.88,4583.26,3298.73,17634.1,14875.9,3097.6,7544.71,725.264,8789.28,5230.57,8749.45,3914.24,2531.11,8511.74,5185.38,750.07,1838.9,670.656,3030.41,"jar"
device8-16.gif,222544,28528.7,8653.81,29140.3,36431.6,66737.1,11647,11868.7,8221.24,10838.8,9910.83,7755.2,2730.37,16504.3,9977.41,5506.11,6345.36,4348.26,2336.01,1473.06,37.1953,3497.96,176.005,683.759,137.481,"device8"
cellular_phone-19.gif,43003.2,25548.5,6926.99,20376.4,8059.5,12408.2,13191.5,7034.57,577.891,1875.64,1199.31,2136.13,1504.04,1828.12,4030.28,2199.43,2654.77,1535.92,483.408,790.643,1259.84,1656.55,1156.91,434.342,382.236,"cellular_phone"
ray-20.gif,67460.2,3116.36,3714.04,5054.2,27.4428,8450.46,26515.6,21004.7,4813.02,5849.46,105.745,4803.18,416.39,8169.19,2984.61,625.323,999.272,3575.87,3465.78,1662.13,2567.52,1627.25,604.843,920.532,1362.05,"ray"
dog-16.gif,12014.2,6277.42,1933.5,2687.2,465.074,2356.48,1784.07,306.926,1357.17,889.277,26.5313,1001.46,900.797,8.09977,55.1969,428.027,154.791,169.627,126.858,356.84,42.1779,255.617,204.693,84.4577,62.5531,"dog"
bat-20.gif,170173,81875.1,38810.3,40036.3,18276.3,32627.9,34700.4,26777.9,6088.45,1639.48,6189.34,1740.53,3442.33,1138.31,1824.2,27.6511,8516.52,5055.07,4926.14,2852.84,3665.09,6289.22,2131.11,1096.97,6882.68,"bat"
tree-19.gif,59816.6,1791.86,3112.57,347.772,10705.5,9671.64,520.494,1686.54,762.984,3563.35,1878.96,629.796,267.192,343.019,388.538,1493.15,343.465,146.943,116.555,749.045,539.423,163.724,258.11,552.772,121.961,"tree"
children-19.gif,78257.6,13411.4,23146.8,7089.84,2304.61,3224.03,1894.86,2788.44,2611.78,831.077,450.005,370.991,1265.88,420.211,1161.04,1152.04,36.977,155.989,309.094,720.301,468.649,33.9228,115.372,136.462,664.378,"children"
device7-17.gif,161162,252.008,52.622,420.399,37038.8,67914.6,610.194,81.9373,686.608,18218.7,10637.3,438.21,16.8728,1296.72,3229.9,6944.75,108.821,92.9851,778.885,2675.13,4887.3,251.008,16.8609,764.262,1106.44,"device7"
flatfish-20.gif,35570.1,18802.4,10631.2,19275.3,5423.54,9158.65,9420.22,5536.86,1295.14,6721.21,2394.25,4893.02,5217.17,3043.4,593.416,2226.46,4564.82,4197.87,2059.09,607.71,2193.43,3154.46,2195.08,902.757,835.019,"flatfish"
brick-14.gif,90771.4,25358.7,4863.6,4286.32,8741.45,619.979,7995.19,92.8675,4724.23,2523.29,183.77,241.243,1717.89,1300.31,22.8206,99.1446,1232.17,129.391,47.8233,170.274,452.926,32.0534,13.4635,231.692,65.9514,"brick"
HCircle-19.gif,18155.1,455.364,7247.85,1557.64,5656.5,4715.38,3522.71,5137.82,6070.58,1838.84,2234.64,482.072,2721.69,1726.12,2351.38,1983.46,134.606,927.102,57.8836,2959.98,1394.3,107.949,806.358,207.522,2038.08,"HCircle"
chicken-13.gif,7842.44,440.206,1018.03,663.062,1051.17,1359.2,1633.92,532.472,525.208,681.598,71.4347,220.875,11.1128,114.767,178.286,102.162,160.483,111.525,167.29,60.0165,141.558,213.605,61.5879,32.4373,247.872,"chicken"
chopper-11.gif,88313.9,3302.99,9781.16,1585.43,10422.1,4664.55,1893.4,6302.55,3659.58,1560.59,875.567,2131,15.0483,569.388,981.41,575.303,1861.82,1503.53,224.211,309.028,1070.7,440.734,254.777,264.083,828.236,"chopper"
Comma-15.gif,70510.2,14973.5,4891.68,8526.28,6651.33,15397.7,21282.2,22934.8,14536.6,16706.2,5603.21,1992.75,994.812,5715.64,3876.9,4470.38,2782.55,1897.63,1529.9,1418.43,2351.32,2342.1,955.637,184.861,297.715,"Comma"
Misk-11.gif,50120.2,5141.61,6930.91,8723.71,3524.75,12971.3,7602.85,6055.3,5095.81,715.325,5518.95,98.1753,3641.96,739.796,1592.66,1220.88,5597.91,217.056,21.8047,2463.33,413.891,3032.71,2531.07,2437.5,17.8221,"Misk"
watch-15.gif,67933.2,50097.1,10856.3,20226.4,24626.4,15215.4,14947.2,5620.98,2931.46,3319.06,7705.94,8169.99,8138.52,7220.32,5251.28,575.591,431.136,233.773,124.001,307.732,999.242,445.63,1296.02,1200.14,764.931,"watch"
flatfish-17.gif,31008.1,18922.5,4441.94,16308.7,10594.1,13342.2,9576.16,2269.19,3326.41,5194.03,3531.97,3673.76,3680.59,3242.43,1745.11,2945.68,3412.02,3386.48,2674.34,1167.79,3306.62,3226.89,2516.79,1597.34,614.068,"flatfish"
cattle-20.gif,50007.1,16639.3,18278.2,9196.54,9477.96,6576.03,13424.6,7886.25,5749.41,4664.05,1344.5,2910.79,1432.44,433.258,3911.32,421.779,2028.01,587.056,278.988,1712.72,369.868,1792.04,1211.24,1142.73,867.57,"cattle"
frog-12.gif,18510.3,2959.33,2736.48,1944.21,4044.42,6468.72,1453.76,2295.9,1494.78,2141.23,520.174,381.467,711.197,961.414,603.342,407.772,91.0861,880.866,479.624,322.62,517.525,535.835,416.027,191.603,236.577,"frog"
device1-13.gif,190951,2090.2,627.54,675.543,37871.1,57789.4,970.735,35.9679,1618.82,13802,12954.9,666.199,54.2879,2245.82,7934.83,8403.23,465.6,28.9183,1250.53,4420.33,5166.39,730.534,89.0676,1385.37,3662.57,"device1"
car-15.gif,89189.4,19135.3,9157.68,3530.88,2813.42,170.043,4011.24,2674.29,2185.44,3770.09,2014.54,684.23,1740.39,624.554,425.5,117.966,333.686,230.537,528.973,539.013,300.902,587.578,567.135,44.8124,502.737,"car"
spring-18.gif,40266.3,19038.7,5034.46,5664.62,372.799,5415.56,2831.18,1025.13,1536.88,1589.47,297.601,86.1252,1076.8,89.7031,2329.05,1042.91,1177.91,794.297,325.753,337.676,1038.19,859.817,10.925,377.007,684.919,"spring"
pocket-20.gif,71408.3,11011.5,6440.19,1810.29,3775.25,525.282,8836.6,6547.55,6967.54,5345.3,604.314,689.292,444.144,846.675,2739.72,333.278,339.094,2988.6,1426,396.666,1190.37,1494.72,1270.57,1918.51,971.678,"pocket"
HCircle-20.gif,21623.1,3237.04,6370.45,3370.7,4951.76,5801.42,6178.93,7243.45,1819.62,4254.6,2804.05,1833.95,1125.36,2246.74,1859.42,1954.16,1291.9,1338,2607.85,1319.81,25.1261,1319.26,327.473,823.76,274.628,"HCircle"
camel-20.gif,71737.4,1212.69,4452.9,90.0314,8939.91,27825.4,11078.9,6765.01,2284.96,5407.58,4422.82,855.527,510.409,2912.63,2765.77,2181.29,1091.26,709.851,594.416,48.9149,1227.9,963.212,1667.51,917.055,1287.89,"camel"
bottle-17.gif,97082,27803.3,14082.6,3576.38,1252.8,3846.98,69.8256,663.75,617.927,3464.95,536.104,342.97,1274.42,1785.75,123.327,3.08639,411.832,64.958,194.732,205.478,770.391,152.345,158.905,37.616,476.305,"bottle"
crown-16.gif,6646.17,3474.31,1102.11,1487.31,95.5542,2226.52,1313.98,175.629,819.549,326.683,237.547,587.817,694.306,354.626,69.6366,129.352,68.1884,97.0308,176.997,164.248,57.315,135.27,66.3455,55.2531,81.8051,"crown"
personal_car-19.gif,61953.2,30666.2,17930.3,23349.5,372.338,20385,19344.8,9565.31,354.929,3426.91,4857.83,6845.31,5447.68,4789.07,6669.03,995.546,3314.12,3604.47,3302.7,4100.48,766.438,135.657,340.775,1012.33,2549.47,"personal_car"
fly-13.gif,53549.3,5471.54,1387.18,4350.09,6854.19,387.416,11651.8,3267.13,876.908,4624.27,3599.54,4245.79,135.347,5919.73,1025.73,2580.43,2161.01,1629.96,2888.37,1438.87,612.466,433.837,213.41,118.309,28.0566,"fly"
Bone-19.gif,129008,19865.9,3769.81,8392.98,12355.8,6725.93,28923.7,17309.9,9100.25,4823.2,7447.13,7879.55,13334.3,4183.69,2220.55,223.16,3465.24,531.597,2400.67,1379.17,1617.85,3936.45,2381.72,2800.09,1331.65,"Bone"
key-12.gif,75408.2,44533,8224.51,23409.4,4045.04,22527.8,12465.4,415.637,6977.69,4773.64,2711.79,1084.27,5156.63,7576.8,5938.32,1135.92,489.711,311.689,582.356,1108.39,1820.67,1119.79,66.5397,811.641,378.574,"key"
device6-11.gif,248201,44524.3,10488.4,18135.2,14916.5,22962.9,7236.87,1514.15,2109.11,1337.09,7327.51,736.522,2529,477.649,5032.53,2404.13,457.63,902.818,1114.92,2163.38,3051,1154.08,24.3681,126.221,2688.3,"device6"
guitar-12.gif,31590.1,24073.6,7334.08,6527.78,9729.11,8586.6,8331.97,4255.36,240.121,720.68,5864.17,4994.11,2677.66,586.619,159.151,3689.98,2060.34,379.204,301.077,58.9357,165.773,454.866,400.616,24.8662,385.13,"guitar"
key-18.gif,76747.3,38296.6,10767.8,11389.7,3721.4,24223.5,14914.8,1762.2,9217.85,9819.08,3584.95,2129.21,1754.26,4566.67,235.563,1862.14,2241.84,522.66,887.375,344.927,291.702,152.538,1079.08,342.241,672.291,"key"
car-13.gif,89812.6,20940.4,9746.82,3034.69,1292.61,388.851,930.896,3670.28,543.973,4056.62,1698.17,1311.74,207.136,1368.99,1028.62,1446.69,340.515,38.948,217.781,1199.16,454.399,209.495,268.802,1.67037,127.763,"car"
cup-15.gif,80209.4,2756.73,10426.7,2680.69,16816.1,41832.7,3921.08,520.084,2527.18,6475.9,7577.47,6182.1,797.127,8780.89,2811.24,561.276,2369.58,1629.75,925.269,597.451,970.78,2527.53,2074.45,495.965,579.801,"cup"
truck-12.gif,97505.5,44330.4,11197.3,9170.37,7202.46,397.911,993.745,1468.67,1350.71,880.851,329.433,582.513,812.437,164.954,383.924,183.338,423.337,537.255,4.75894,46.9354,13.8163,308.572,138.273,0.931492,75.2121,"truck"
device4-13.gif,239808,35576.8,11740.4,12345,36993.9,56672.2,14628.8,11244.6,9736.49,27754.5,9146.42,5768.25,6394.02,5808.23,6907.28,522.598,4339.35,1532.37,1753.72,535.407,114.218,428.773,1123.74,1574.84,929.686,"device4"
elephant-18.gif,21326.1,10104,2685.1,2900.89,1573.84,3132.17,2326.7,1008.49,641.983,1095.21,4434.68,2604.44,1652.87,264.787,2186.12,1677.32,1666.57,1425.3,1724.3,795.011,518.639,507.971,644.596,1186.82,325.603,"elephant"
Misk-19.gif,63921.2,10701.7,9850.67,9958.93,9805.52,2298.79,4801.15,9027.7,8451.3,4472.16,7657.65,1878.68,3152.69,3102.86,1232.69,149.863,3486.81,594.203,1982.44,1198.5,1280.38,3367.01,1488.41,1236.34,220.372,"Misk"
hat-20.gif,7302.1,3216.58,2161.09,3522.64,2605.7,4170.96,1079.85,2175.22,2490.31,655.784,489.904,37.1387,863.647,256.818,799.261,239.286,52.4804,102.159,122.093,363.46,107.53,27.4469,111.207,111.408,292.957,"hat"
horseshoe-18.gif,8901.44,350.081,196.084,577.414,1184.25,1088.08,230.256,728.206,200.118,1194.69,116.263,429.882,227.053,116.43,122.074,258.233,296.266,163.854,57.8598,57.9869,256.597,234.133,336.343,66.066,72.3439,"horseshoe"
camel-15.gif,94560.5,3328.87,3654.44,1308.49,15754.9,26480.7,13055,6808.53,12567.5,1819.22,999.279,4391.66,883.216,974.904,1146.72,232.869,448.544,1965.84,1899.19,451.426,319.832,1478.21,947.134,66.5941,1800.79,"camel"
device3-14.gif,163981,3609.55,1321.04,1779.26,26801,88358,515.693,2061.26,8112.51,10032.2,29413.2,6120.79,2535.32,2936.16,4432.85,6154.81,4438.08,2063.54,3183.83,5702.03,1374.05,1987.42,211.799,1528.17,1383.07,"device3"
