"","HuMoments1","HuMoments2","HuMoments3","HuMoments4","HuMoments5","HuMoments6","HuMoments7","BlackRate","WhiteRate","Fourier-0","Fourier-1","Fourier-2","Fourier-3","Fourier-4","Fourier-5","Fourier-6","Fourier-7","Fourier-8","Fourier-9","Fourier-10","Fourier-11","Fourier-12","Fourier-13","Fourier-14","Fourier-15","Fourier-16","Fourier-17","Fourier-18","Fourier-19","Fourier-20","Fourier-21","Fourier-22","Fourier-23","Fourier-24","ID-0","ID-1","ID-2","ID-3","ID-4","ID-5","ID-6","ID-7","ID-8","ID-9","ID-10","SD-0","SD-1","SD-2","SD-3","SD-4","SD-5","SD-6","SD-7","SD-8","className"
butterfly-6.gif,0.206618,0.00606871,0.00169295,0.000152564,-7.74946e-08,-1.1882e-05,6.17551e-08,0.756765,0.243235,167526,20106.3,14357.6,1066.85,21334.9,7666.29,27380.1,7048.98,12829.4,4047.72,4842.41,3630.96,52.0295,676.469,1265.31,3442.84,2510.09,486.485,2782.2,3388.19,214.169,380.424,40.1856,778.894,539.546,51263,214,406,524,77,126,0,28402.4,56804.8,85207.2,142012,8149.8,905.533,322.89,158.409,77.637,47.8934,12.3479,6.98733,0,"butterfly"
personal_car-4.gif,0.284013,0.0531261,0.000450378,5.00422e-05,-3.20539e-09,-6.719e-06,-7.45556e-09,0.734569,0.265431,61410.5,13497.8,18411.5,4251.52,239.324,1893.4,10033.7,6209.68,2371.91,3484.53,1307.62,1943.76,619.865,1914.24,612.258,1800.56,1310.1,18.1205,469.035,2470.52,905.22,175.882,887.417,758.542,545.035,2288,137,159,152,168,124,29880,33604.6,37329.2,41053.8,48503,383.389,42.5987,15.3355,7.82426,4.73319,3.1685,2.07952,1.08863,0.350076,"personal_car"
cup-8.gif,0.19299,0.00677594,0.000357205,1.24716e-05,-6.07519e-10,5.31998e-07,6.02689e-10,0.598011,0.401989,67061.4,5221.64,3109.23,1849.66,16597.5,24411.3,3190.09,348.812,3920.8,4934.42,1657.58,4948.08,3152.03,2814.6,236.034,681.672,688.59,1410.01,3599.12,167.443,1010.97,6.49473,275.72,1084.84,53.6705,4320,268,34582,-2147483648,53,13745,4035,17159.2,30283.4,43407.6,69656,4128.47,458.718,165.139,84.2544,34.5229,8.02813,0.253586,0,0,"cup"
jar-7.gif,0.183381,0.00757675,0.000111603,6.89237e-06,1.90091e-10,5.96249e-07,-4.07565e-11,0.819752,0.180248,214894,51290.1,3006.02,19881.1,8040.27,17253.4,1123.71,67.8979,8293.95,7253.17,994.29,4319.92,1695.73,4228.37,1307.78,1211.49,2452.02,595.74,1409.98,1404.13,319.113,751.645,230.965,1027.28,662.241,2304,122,221,183,207,183,52513,56630.8,60748.6,64866.4,73102,3339.41,371.046,133.577,68.1513,41.2273,27.5985,19.7598,14.8418,3.43763,"jar"
fork-6.gif,54.2624,1894.95,58340.7,14773.5,4.33641e+08,643095,-8.92007e+07,0.920833,0,282881,21565.2,69373.5,3977.38,22583.5,23800.2,10309.9,21459.2,965.066,3778.93,3317.62,2310.83,4238.91,1343.09,1209.42,166.678,2061.58,11.3861,284.413,1042.76,571.94,3998.44,603.756,1540.61,789.395,2183,43,349,285,190,316,41850,63928.4,86006.8,108085,152242,9675.82,438.081,167.492,76.8699,38.8922,10.9154,0,0,0,"fork"
shoe-10.gif,0.257088,0.0385832,0.000579653,0.000129609,3.0387e-08,1.86534e-05,-3.42076e-08,0.584823,0.415177,73828.3,28063.5,14531.8,4562.46,1538.86,25069.5,28731.2,11014,8607.39,4149.31,276.234,6948.19,1039.28,4176.95,187.817,1384.47,3079.51,466.599,1187.95,1298.11,1077.31,1470.44,957.788,1008.21,859.57,2417,249,47,389,207,19,60486,66409.6,72333.2,78256.8,90104,1302.6,144.734,52.1042,26.5838,16.0815,10.7653,7.70771,5.02101,3.04659,"shoe"
cellular_phone-9.gif,0.272859,0.0458974,0.000275424,7.51428e-05,9.16106e-09,6.31015e-06,5.4794e-11,0.490468,0.509532,34937.1,22816.8,1757.74,16301.6,11198.9,12225.5,9610.57,2409.43,1871.04,426.808,4239.79,3974.48,1643.77,379.966,1532.3,4844.78,4187.34,2578.03,1671.92,1739.25,2330.22,1553.73,611.47,635.72,1469.76,2389,357,1,390,34,213,18475,21073.4,23671.8,26270.2,31467,1533.53,170.392,61.3412,31.2965,8.31796,0,0,0,0,"cellular_phone"
camel-7.gif,0.214178,0.00241527,0.00104104,5.07424e-05,-2.28979e-09,-3.34001e-07,7.51839e-09,0.699832,0.300168,93935.5,2180.52,13993,4497.01,9312.57,8126.89,22223.5,2872.17,10873,4541.52,9027.7,3095.27,867.412,1372.1,347.917,550.573,3556.08,347.991,71.3099,1568.14,590.536,887.164,1409.55,781.508,959.515,2298,106,322,66,309,354,67653,77291.2,86929.4,96567.6,115844,3847.21,427.468,134.396,58.8859,35.939,21.868,11.0788,3.70472,0,"camel"
butterfly-10.gif,0.282697,0.0207643,0.00497064,0.00117673,2.11833e-06,3.1311e-05,2.00752e-06,0.594486,0.405514,67410.2,26195.7,2571.12,4667.22,4467.73,6657.01,14718.6,528.634,6510.4,4079.93,2030.32,6184.58,3764.35,2669.4,2677.18,2283.62,268.076,967.582,2505.7,2099.13,156.97,1830.63,891.744,2654.81,1194.58,252375,344,387,185,128,307,0,15199.2,30398.4,45597.6,75996,5774.33,605.078,150.226,63.0856,24.6543,4.44686,2.28639,0,0,"butterfly"
spring-5.gif,51.9586,1741.37,3628.42,411.719,76490.7,3229.93,-103139,0.750476,0,93790.4,17041.8,1061.36,2807.43,13524.2,4487.45,10437.1,573.669,6607.3,3672.99,6263.87,231.028,1563.02,854.943,1323.07,3389,1439.89,745.722,3437.09,608.046,1084.55,1371.18,161.568,2475.82,638.975,2412,353,65,400,80,33,100528,115684,130841,145997,176310,3641.76,228.19,25.7908,20.6314,24.7648,14.2427,9.63223,7.37638,4.06269,"spring"
Bone-10.gif,0.859995,0.64549,0.0672202,0.0507535,0.00296444,0.0407696,0.00142613,0.800482,0.199518,125454,20676.3,582.906,11377.5,14867.9,319.106,36085.4,10277.5,7189.72,4537.77,370.995,2667.58,7435.6,5781.01,5832.49,4793.22,4710.2,1885.33,2441.73,4787.02,1813.18,148.514,1704.07,65.4472,2300.07,4460,453,96,486,95,162,3259,30731.2,58203.4,85675.6,140620,6812.96,397.076,122.184,40.1331,11.6461,14.9323,10.6616,12.1119,5.92379,"Bone"
chicken-9.gif,0.237355,0.010116,0.00624119,0.000368971,9.18975e-08,1.36974e-05,-1.86674e-07,0.567805,0.432195,5954.22,1086.71,858.928,15.554,1113.94,513.686,1740.64,268.531,312.301,422.661,616.803,630.123,415.086,17.4142,505.667,238.499,91.2797,107.378,644.083,161.492,62.1435,63.4986,96.8436,72.6938,315.639,2107,88,97,128,25,10,2168,4770.8,7373.6,9976.4,15182,48.0887,5.34318,1.70982,0.517962,0.222633,0.0993567,0.0474247,0.0430423,0,"chicken"
camel-9.gif,0.193532,0.00141708,0.00064434,3.53681e-05,-4.36268e-09,-1.32016e-06,-2.43767e-09,0.646256,0.353744,87180.4,2050.45,5813.85,3737.57,12780.1,36627.9,7295.96,2715.61,3554.62,8696.5,2857.38,1569.82,3764.48,4402.31,4843.58,4510.86,1193.63,1055.61,1935.25,1190.33,329.471,1503.03,259.956,1298.04,1259.58,2375,350,68,330,64,89,81550,95695.8,109842,123987,152279,3866.56,429.618,154.662,78.0326,47.7353,31.884,14.668,4.29618,2.30418,"camel"
device5-4.gif,0.250362,0.000142193,5.15321e-05,7.24212e-07,4.16553e-12,6.99192e-09,3.6401e-12,0.828252,0.171748,257889,52731.8,804.341,16842.2,16160.7,16751.1,2045.75,453.774,4315.98,7697.47,196.662,3363.06,5667.77,3851.14,3323.04,3107.85,656.564,52.3284,1310.79,808.897,1953.61,1767.23,248.1,222.516,956.85,2376,272,235,292,265,276,103964,117925,131885,145846,173767,12851.2,1427.91,381.57,244.866,33.2983,0,0,0,0,"device5"
bird-1.gif,24.4375,105.591,6682.88,269.571,342305,466.597,-152921,0.609019,0,76254.2,24223,23822.3,5309.81,10011.9,6802.03,14031.9,8609.87,2046.62,1223.03,2461.22,9987.09,3386.6,941.388,982.701,1933.14,4808.69,1280.42,2108.68,417.138,2258.71,919.942,1149.26,1503.16,3243.46,511143,178,346,10843,11138,215,11,45448.8,90886.6,136324,227200,4083.22,453.691,163.329,83.3309,19.3961,9.22731,6.04026,3.70396,0,"bird"
lizzard-4.gif,0.305972,0.0289826,0.000205665,0.000709338,-1.98186e-07,-4.10759e-05,-2.61663e-07,0.627612,0.372388,52860.2,10151.8,13266.4,749.476,319.073,839.409,9911.6,7242.7,2518.7,2107.25,3128.16,5317.27,347.496,1359.13,1687.31,2445.03,835.277,1245.58,869.96,3574.51,1110.24,875.368,1832.1,595.928,105.984,8-2147483648,71,253,43025,43024,187,4,25931,51858,77785,129639,1813.23,201.47,67.0573,28.6841,6.06,3.74634,2.68229,1.80012,0,"lizzard"
device9-6.gif,0.182741,9.03336e-06,5.79949e-07,3.36122e-07,5.32229e-14,-1.89827e-10,6.39422e-14,0.637601,0.362399,198527,32537.4,740.277,10378.7,26983.7,1574.57,11499.4,18217.6,10742.1,26548.5,2581.93,7010.99,7173.08,788.264,1432.46,1642.16,1560.26,4857.69,4789.22,5888.86,3436.61,740.191,1016.13,21.0583,1651.87,2396,357,338,143,350,395,218276,247691,277105,306520,365349,10481.3,1224.08,498.579,262.877,153.76,91.0474,84.7265,53.15,0,"device9"
bell-2.gif,0.183452,0.00266161,0.00167554,1.04581e-05,1.20554e-09,4.90713e-07,3.51953e-10,0.412606,0.587394,1558.19,527.461,193.218,219.867,311.686,556.099,149.938,12.1318,326.734,303.35,194.014,252.869,14.419,93.8416,4.26239,17.1381,50.5455,62.5036,89.3875,34.979,37.21,35.5739,7.66649,3.51372,114.25,158,67,34,24,62,42,4955,5297,5639,5981,6665,7.69631,0.855145,0.307852,0.157067,0.0905622,0.0387598,0.0227701,0.00267233,0,"bell"
device2-8.gif,0.170697,1.42749e-07,8.31506e-08,3.45081e-08,-1.57947e-15,1.29945e-11,1.1906e-15,0.548054,0.451946,143669,1154.41,116.964,611.649,26587,82611.3,1929.62,80.7725,2216.59,16077.7,7830.64,1556.54,109.141,2727.55,3301.32,1296.3,814.461,9.51768,611.552,2238.98,3969.55,282.439,19.5047,758.161,690.723,6422,216,535,385,213,434,8,78858.2,157708,236559,394259,13357.7,1484.18,534.306,272.605,164.909,110.394,79.0394,59.3674,44.3715,"device2"
deer-9.gif,0.310671,0.0332678,0.000689145,0.00010839,1.91378e-08,-1.64631e-05,2.54018e-08,0.723972,0.276028,323326,68752.4,29957.6,21941.6,49126.3,12432.9,87437.3,14316.8,2995.27,22148,10689.7,4172.4,2808.89,18320.3,20520,3598.52,14796.1,3615.16,5240.12,506.719,9685.7,3768.3,5.1739,2349.5,9680.64,65731,410,724,351,434,450,2,172637,345272,517907,863177,61955.1,6883.9,2004.3,308.551,103.775,199.356,57.7333,14.3494,33.3181,"deer"
device2-4.gif,0.311434,2.82154e-07,5.1268e-06,1.03669e-06,2.02692e-12,-5.0556e-10,-2.31879e-12,0.827286,0.172714,216869,6026.8,4.15848,372.264,21036.8,47598.2,1177.2,123.981,6301.45,11869.3,12022.7,3175.85,94.1979,5345.19,11008.2,6309.94,2855.25,44.0092,2750.44,3855.46,1776.57,2974.93,444.809,2300.31,2880.28,1353,9,346,488,346,346,249959,301745,353531,405317,508889,17665.5,1962.83,706.62,360.52,218.093,145.996,93.7605,50.5736,0,"device2"
octopus-2.gif,0.170673,0.000151436,0.000111855,2.09679e-05,-3.68237e-10,2.24867e-07,1.55011e-10,0.582001,0.417999,38142.4,5556.24,510.841,1897.6,7092.17,19988.1,2491.77,136.748,1978.45,1656.84,4890.34,1687.47,2074.81,820.563,1939.48,1369.28,1269.03,377.266,968.438,964.904,313.332,38.441,533.062,805.389,1102.01,2190,185,109,97,180,152,42262,49754,57246,64738,79722,676.231,75.1368,27.0493,13.8006,8.34854,5.50244,3.82847,2.78285,0.592197,"octopus"
device6-3.gif,0.181778,2.55333e-05,1.04931e-06,3.54183e-07,-1.84022e-13,1.59326e-09,1.77389e-13,0.735515,0.264485,229014,26448.1,5529.16,11267,30093.3,11956.2,24062.3,2867.69,1157.69,18982.7,3904.49,6165.79,243.968,1403.38,5511.18,2890.73,256.076,740.45,4135.21,7087.55,4630.82,1030.05,2465.8,124.224,1644.48,2442,353,100,458,197,183,250276,271254,292232,313210,355166,14318.8,1590.98,572.751,292.22,166.492,60.5617,45.0036,1.41028,0,"device6"
watch-10.gif,0.528273,0.249403,0.00102419,0.000719811,6.16996e-07,0.000337955,4.40119e-07,0.849698,0.150302,104088,31185.8,35489.8,14491.9,10369.5,3051.61,12566,11242,2678.63,4619.52,2384.68,4494.79,1668.12,2413.37,428.205,1238.38,422.077,196.848,1029.33,2832.97,867.828,264.687,70.3393,368.663,407.364,2362,165,161,212,208,169,18644,23162.6,27681.2,32199.8,41237,390.127,43.3475,15.6051,7.96178,4.81639,3.22419,1.47741,0.86695,0.35098,"watch"
lizzard-8.gif,0.384639,0.0696407,0.000839498,0.00141125,1.06259e-06,4.70677e-05,1.08191e-06,0.773032,0.226968,119752,60.1104,31.9629,8273.98,20898.9,18034.8,12774.3,8131.09,1106.4,11847.9,5596.61,1369.59,5682.31,5338.86,1105.11,2878.11,1328.56,97.2007,1375.62,261.665,782.645,46.6355,1295.81,835.124,489.834,9382,89,248,481,293,204,7,19926.2,39845.4,59764.6,99603,3335.05,328.9,126.495,35.1386,14.6787,6.68673,4.78754,1.35945,0,"lizzard"
crown-7.gif,0.250186,0.0171164,0.00088461,0.000227832,-9.02411e-08,-2.68146e-05,8.42218e-08,0.547964,0.452036,2759.19,1679.67,92.0534,591.34,222.827,1054.67,606.82,66.5605,295.698,106.873,35.3344,77.4012,192.683,199.794,170.286,204.896,107.887,55.5412,91.4657,87.5108,24.5915,25.483,13.3449,2.61306,16.0036,292,47,41,69,53,23,436,3022.2,5608.4,8194.6,13367,5.77261,0.641401,0.230904,0.0883563,0.0356334,0.0238538,0.0170787,0.019242,0.00332907,"crown"
apple-1.gif,0.161964,4.35994e-06,4.6057e-05,2.70515e-06,3.01204e-11,5.0011e-09,-2.28085e-11,0.568497,0.431503,37257.4,2592.04,71.0403,1483,9376.68,20664.9,67.4485,245.17,2442.75,537.34,4199.58,990.234,4.50289,1187.94,2478.44,811.306,1969.59,568.412,216.134,585.741,900.801,2803.74,157.307,184.004,81.2273,2212,104,208,59,198,205,29657,32806.2,35955.4,39104.6,45403,1010.17,112.241,40.4069,20.6158,12.4713,8.34854,0.531046,0,0,"apple"
bird-10.gif,0.273075,0.0192381,0.01345,0.000963201,-3.21681e-06,-0.000127446,6.74745e-07,0.808802,0.191198,121758,7528.38,9919.3,6923.03,18585.1,20425.5,11426.3,4563.05,7268.09,4394.81,1120.3,4935.09,4188.89,1694.81,604.086,107.162,2687.09,577.824,1643.64,249.063,2238.97,259.42,1291.93,129.686,505.744,17258,111,323,444,150,159,0,18480.4,36960.8,55441.2,92402,4909.33,543.883,148.622,67.2176,20.2425,10.1432,7.26232,0.0852314,0,"bird"
brick-08.gif,0.301522,0.0610201,0.000223956,7.22762e-05,9.14883e-09,1.77895e-05,3.31798e-09,0.892766,0.107234,90506.3,23683.9,4987.36,5386.21,9476.12,2313.15,10487,4993.46,3852.57,108.877,1011.88,777.087,118.607,127.928,170.747,1377.87,243.721,168.481,186.057,1135.19,377.96,648.091,226.149,238.374,376.363,2216,43,215,1,182,259,9059,10454.2,11849.4,13244.6,16035,632.793,70.3103,25.3117,12.4529,1.95306,0.213457,0,0,0,"brick"
pocket-6.gif,0.253437,0.00750147,0.00298639,0.000496714,6.00624e-07,4.28561e-05,-1.41546e-07,0.502793,0.497207,32943.2,11082.5,4838.35,1308.59,632.999,3530.57,3109.5,4287.69,3133.22,5646.15,3512.67,1263.28,270.795,631.515,1683.17,2389.24,697.752,951.668,602.778,1103.21,1033.94,468.023,238.855,717.801,825.996,81209,211,156,142,242,234,2,26916.6,53831.2,80745.8,134575,1446.03,202.866,80.8776,45.9483,14.8897,0.103469,0,0,0,"pocket"
Bone-3.gif,0.944279,0.794079,0.02507,0.0167259,0.000342482,0.0148971,0.000149542,0.818023,0.181977,128203,16400.9,5117.7,10389,13878.2,3298.9,38095.5,8930.43,2781.33,1589.09,382.102,1628.87,3175.59,5331.16,1478.08,4361.52,1201.21,4369.42,1572.82,793.336,566.265,3035.95,1200.69,2117.79,718.366,4435,453,105,445,126,167,2753,29826.6,56900.2,83973.8,138121,7911.02,470.834,138.755,41.0499,8.13377,16.8298,19.0787,19.5654,5.45748,"Bone"
carriage-01.gif,0.378849,0.093266,0.00205043,0.00153828,2.73185e-06,0.000468723,8.3941e-07,0.901219,0.0987808,91363,6956.74,12292.6,5518.42,1895.54,1914.47,390.603,254.398,417.367,236.445,151.522,1003.87,1468.54,1549.61,39.1552,209.661,847.537,375.885,513.249,1211.89,317.287,219.001,446.594,201.906,536.906,2224,151,9,218,89,39,14006,17415.4,20824.8,24234.2,31053,322.854,35.8726,12.9141,5.27108,1.03632,0,0,0.157839,0.1564,"carriage"
children-1.gif,0.330605,0.0811236,0.000443869,0.000309951,1.14964e-07,8.81222e-05,3.15277e-08,0.924148,0.0758523,78073.6,13138.9,23083.5,6926.56,2372.99,2966.23,1786.26,2655.3,2799.5,1135.42,413.503,157.334,1115.93,495.155,1162.5,1066.44,113.349,137.773,182.586,651.807,447.312,53.1473,88.5924,22.2767,616.716,258,87,81,95,89,164,9431,10727.8,12024.6,13321.4,15915,688.754,76.5282,24.4292,4.17294,0,0,0,0,0,"children"
classic-8.gif,0.298647,0.0583992,0.00243422,0.000788136,1.0243e-06,0.000153409,-1.03299e-06,0.518555,0.481445,169682,116027,7864.19,57032.4,41768,50784.2,58014.5,38540.4,12639,138.111,5203.84,5053.09,436.865,1351.53,7002.58,6212.15,11528.9,10968.3,5890.83,969.447,5241.21,2143.77,2150.55,5096.04,7494.15,2800,494,42,792,351,291,160785,180893,201002,221110,261327,7044.63,782.737,281.785,143.768,86.9707,58.2201,41.6842,22.6947,7.31998,"classic"
turtle-1.gif,0.218796,0.0172989,0.00028747,0.000119475,1.83289e-08,1.14378e-05,1.80344e-08,0.720202,0.279798,65233.4,536.96,3232.49,1932.28,10903.6,16699.6,6689.88,6269.04,935.076,6256.62,1498.17,2246.71,282.653,3677.23,1651.13,1071.69,2687.63,34.2885,413.146,735.39,127.127,245.333,155.659,254.199,632.372,2286,21,252,86,283,260,37252,41700,46148,50596,59492,2261.52,251.279,90.4606,33.8497,11.752,4.67255,0.972908,0,0,"turtle"
lmfish-2.gif,0.317079,0.0693098,0.000340291,3.39051e-05,-1.48257e-09,-6.75225e-06,3.12637e-09,0.777259,0.222741,337548,8513.97,7901.62,3113.34,35492.4,55544.4,15811.6,10985,15339.3,44183.6,14297.7,6426.27,5269.38,5583.49,15307.4,1812.84,7602.97,2353.73,3649.9,4712.73,1185.17,3814.33,2154.56,710.283,1713.24,3660,605,155,613,82,127,15,80269,160523,240777,401285,29265.5,3251.72,1170.62,326.289,168.187,118.189,86.5843,65.0344,50.6323,"lmfish"
spoon-8.gif,0.79267,0.577184,0.0874971,0.0761262,0.00621151,0.0573987,0.00127512,0.906067,0.0939331,59380.5,5678.55,3351.72,319.504,9382.75,4642.64,2087.11,960.28,233.849,5541.48,239.923,1853.52,424.732,592.931,2164.43,306.857,2002.36,233.424,5.70772,341.025,510.527,999.961,471.36,482.375,591.976,298,238,8,99,153,168,11217,13067.4,14917.8,16768.2,20469,962.169,39.4236,0,0,0,0,0,0,0,"spoon"
device8-10.gif,0.382627,0.011472,0.066385,0.000403463,-2.08562e-06,-4.26354e-05,-2.81078e-08,0.84987,0.15013,264620,27054.8,2990.14,24729.4,37791.8,50909.9,7823.53,4837.68,24735.9,1391.63,7500.26,8513.93,1806.96,5284.73,7521.55,152.167,7015.49,369.496,267.676,176.602,995.825,2543.19,926.254,14.7823,993.001,2459,3,464,260,456,469,82859,97561.6,112264,126967,156372,6703.25,676.495,199.114,71.0313,27.0549,1.72097,0,0,0,"device8"
butterfly-5.gif,0.206647,0.00606964,0.0016958,0.000152957,-7.78635e-08,-1.19139e-05,-7.18773e-08,0.512953,0.487047,56709.2,16922.8,8188.61,7364.96,13076.6,10050.1,6444.69,7850.13,1532.09,3261.19,1026.96,3606.59,4561.55,535.754,1060.8,4102.67,393.617,640.827,1615.49,3024.05,2282.89,176.612,942.494,836.914,2830.43,52333,217,207,339,222,156,4,42360,84716,127072,211784,4562.99,506.999,151.959,66.9676,28.297,13.2686,0.833332,0,0,"butterfly"
turtle-8.gif,0.230296,0.0226413,0.000291954,0.000113439,1.75906e-08,1.29625e-05,1.17084e-08,0.809433,0.190567,204714,23140.4,11273.6,9208.6,25474.3,18732.7,26700.9,4765.92,16642.1,10354.6,833.85,1943.76,2491.42,4590.17,3939.02,3336.56,4432.87,1273.66,1217.62,1955.61,441.847,1345.37,122.533,1004.23,550.856,3363,94,365,31,396,384,12,48594.6,97177.2,145760,242925,10438.5,1159.84,417.541,160.431,49.5198,21.301,6.00508,0,0,"turtle"
frog-6.gif,0.199826,0.00662145,0.00159262,0.00015192,7.16104e-08,1.21864e-05,-5.84634e-08,0.483781,0.516219,53615.2,14590.3,539.634,7669.94,20368.8,9162.3,12233.8,684.04,3494.14,4630.46,9019.2,3843.24,4066.37,4338.89,2575.94,1657.87,1353.62,687.512,616.787,1189.68,2125.09,3613.48,1213.25,188.941,1071.25,19314,338,151,235,214,163,8,50401.2,100794,151188,251974,5096.54,564.321,174.214,78.0803,41.4385,17.7348,0,0,0,"frog"
