"","Values0","Values1","Values2","Values3","Values4","Values5","Values6","Values7","Values8","Values9","Values10","Values11","Values12","Values13","Values14","Values15","Values16","Values17","Values18","Values19","Values20","Values21","Values22","Values23","Values24","ModelName"
truck-04.gif,98096.7,46471.6,11702.4,11731.9,7321.38,1197.38,1065.42,369.053,1070.1,627.996,48.3446,53.7471,439.622,124.651,320.809,170.112,238.598,127.611,157.784,47.923,231.994,86.1232,103.417,51.7932,125.87,"truck"
children-3.gif,78016.6,13209.5,23073.6,6900.92,2480.08,3056.16,1856.75,2737.92,2699.73,969.339,412.963,290.859,1215.14,488.531,1126.18,1101.92,22.6506,183.065,236.934,708.754,447.855,4.3988,96.4236,93.1185,647.471,"children"
device6-10.gif,253729,50796.9,9852.66,18036.5,12834.9,24124,4776.53,334.356,5004.55,5092.11,7543.12,1198.12,2012.5,3179.96,7459.52,2663.3,477.978,1309.5,1762.94,2865.73,2151.64,1669.85,1211.57,1254.74,2531.67,"device6"
Glas-10.gif,63617.1,22059.6,8629.24,1227.76,14271.4,6377.69,7913.21,9707.17,16863.8,6226.74,3811.82,4174.65,2568.2,3589.68,8253.6,1046.06,6243.74,205.556,6044.84,1926.08,2868.46,1086.17,1673.23,420.474,1281.19,"Glas"
lizzard-1.gif,72857.2,30010.7,4422,4561.79,2112.66,9836.88,823.981,513.495,10750.6,4723.3,3109.32,8.68729,5480.18,653.02,3752.7,70.6673,748.459,2205.32,1018.76,3203.25,2741.85,703.305,3189.88,1298.98,2655.67,"lizzard"
ray-2.gif,208637,12783.2,5408.2,5495.82,37251.3,69887.8,7937.23,5996.93,2152.08,20559.7,7997.95,10121.5,4866.95,1128.69,7251.21,4442.9,4133.67,2311.27,36.2433,5108.97,8014.04,749.228,908.735,2111.96,3910.33,"ray"
jar-3.gif,192670,23435.7,14340.1,19981.9,30994.7,2590.83,18709,3924.13,9456.43,12375.2,11706,1546.25,2113.88,764.46,8795.92,1449.42,4473.49,443.32,368.131,55.1838,2184.85,105.273,363.918,2044.2,1277.33,"jar"
teddy-06.gif,60033.6,3983.9,15494.6,1757.71,211.925,5210.12,1718.01,5267.89,3195.33,3543.28,2717.73,1193.79,481.358,1686.51,1631.48,1950.69,329.803,497.731,313.268,1204.95,1555.94,380.973,111.338,40.5176,86.4343,"teddy"
device5-4.gif,257889,52731.8,804.341,16842.2,16160.7,16751.1,2045.75,453.774,4315.98,7697.47,196.662,3363.06,5667.77,3851.14,3323.04,3107.85,656.564,52.3284,1310.79,808.897,1953.61,1767.23,248.1,222.516,956.85,"device5"
Bone-3.gif,128203,16400.9,5117.7,10389,13878.2,3298.9,38095.5,8930.43,2781.33,1589.09,382.102,1628.87,3175.59,5331.16,1478.08,4361.52,1201.21,4369.42,1572.82,793.336,566.265,3035.95,1200.69,2117.79,718.366,"Bone"
hat-3.gif,27318.2,3571.3,8223.04,3456.69,6548.45,14869.5,2080.27,2953.72,87.1463,5104.53,2339.3,554.378,1597.15,2556.9,2341,143.905,760.386,106.11,2261.54,553.135,297.115,1728.83,126.609,323.308,924.799,"hat"
bat-5.gif,419782,37219.8,19800.8,11826.3,93587.1,90749.1,5167.3,23862.3,4705.41,17712.6,13470.4,4665.5,7817.99,15341.6,1363.33,8060.87,5064.3,3560.41,800.329,3220.15,4253.83,4213.96,6239.01,3430.36,2525.4,"bat"
car-02.gif,93461.1,26880.1,13323.4,1045.65,3361.67,1688.23,2588.03,2369.9,720.176,2666.61,402.565,2263.46,1935.69,102.533,518.811,470.033,525.14,428.381,858.902,780.025,98.5265,594.952,247.934,211.754,209.483,"car"
hat-5.gif,1261.24,197.568,79.7264,6.16779,422.991,36.6362,197.275,269.367,118.693,14.5763,41.1312,77.3493,8.9616,52.3973,63.9984,61.8755,29.0836,5.73,20.5534,65.0688,15.8137,12.3586,15.9534,51.4521,30.9108,"hat"
device7-2.gif,160902,2099.51,12.8886,772.328,37108.3,70449.3,1432.83,45.3242,1610.51,13254.9,13752.1,900.784,65.1524,2507.77,8395.1,8857.92,545.48,32.8898,1341.8,4530.6,5858.5,1038.25,49.9126,1540,3829.25,"device7"
elephant-7.gif,358953,60630.7,51345.2,34711.5,54267.4,79989.6,16275.9,11007.7,3514.87,9472.39,974.495,3044.54,3118.55,6550.44,3270.19,10053.8,3212.67,3616.08,1645.04,10693.3,866.653,3845.67,272.945,5276.72,3363.15,"elephant"
fish-4.gif,7966.09,5857.08,1147.11,2746.54,3520.31,3112.4,2258.77,700.087,219.211,28.0823,1056.97,1106.76,1235.43,1394.73,1290.84,551.295,443.333,483.436,763.805,1103.08,593.655,293.344,7.13235,57.1173,87.7445,"fish"
deer-5.gif,333668,57171.9,14367.1,32203.5,66149.5,18382.6,85036.5,6610.55,32633.6,4363.89,37652.7,8194.46,14124.6,3369.63,22588.6,12780.2,6442.8,5699.29,5557.11,1244.83,3204.43,17166,804.021,2627.58,769.567,"deer"
key-1.gif,99640.3,36957.1,19661.4,7495.89,3577.38,26251.8,21245.2,302.051,18057.9,9411.47,2591.06,7376.55,2128.97,3065.6,3412.3,464.862,3109.78,530.515,1258.93,497.61,345.007,977.523,377.803,1104.03,1504.47,"key"
flatfish-6.gif,30299.1,18969.2,4132.3,18214.4,14277.3,9904.17,5811.57,216.28,3669.93,3385.19,1330.25,2304.12,3163.66,3172.32,2097.36,673.792,2166.26,3184.28,3096.45,1992.86,1118.57,1809.73,1735.61,1263.95,958.438,"flatfish"
key-6.gif,62145.3,31178.5,10140,11614.9,2797.52,19487.9,12596.8,1159.34,8086.59,8437.6,2304.37,658.342,2443.47,4154.34,367.476,2571.91,2861.91,645.251,810.69,582.298,1470.71,1650.42,401.026,950.389,82.783,"key"
lmfish-5.gif,311132,223897,36777.3,100939,107367,85821.8,43048,11498.3,24953,8560.68,47648.2,34728.5,19130.3,17311,25954.9,17023.9,12393.6,5756.62,5861.17,11532.9,2160.87,3858.69,2445.45,1093.56,427.994,"lmfish"
fountain-09.gif,71716.9,4425.15,22438,3000.14,3085.26,6533.54,5095.68,2046.04,3940.84,1795.96,137.667,656.971,861.119,716.467,156.184,764.12,484.015,64.8024,1001.98,492.81,224.305,740.77,267.551,154.719,490.906,"fountain"
chopper-02.gif,88329.1,12334.5,9597.71,2677.63,6350.23,2920.54,7131.75,5471.06,215.691,521.222,2602.75,281.456,586.339,2252.06,1740.82,13.2107,1050.2,465.19,175.355,68.6125,313.949,201.479,551.408,484.974,17.5329,"chopper"
rat-07.gif,88069.9,12096.8,7830.03,828.899,4751.06,2976.64,1817.4,2322.02,1972.74,1108.12,442.969,132.029,1288.12,2875.19,2261.96,437.312,300.031,790.769,740.873,332.21,51.1493,870.482,88.4387,398.64,1.51068,"rat"
cup-8.gif,67061.4,5221.64,3109.23,1849.66,16597.5,24411.3,3190.09,348.812,3920.8,4934.42,1657.58,4948.08,3152.03,2814.6,236.034,681.672,688.59,1410.01,3599.12,167.443,1010.97,6.49473,275.72,1084.84,53.6705,"cup"
frog-3.gif,17222.2,5279.97,2454.32,1161.19,4592.67,7300.27,2587.98,1021.7,273.589,1771.13,1774.97,719.184,826.45,1547.57,766.852,369.326,82.9618,179.182,616.836,336.834,173.688,356.751,376.923,235.605,131.785,"frog"
deer-9.gif,323326,68752.4,29957.6,21941.6,49126.3,12432.9,87437.3,14316.8,2995.27,22148,10689.7,4172.4,2808.89,18320.3,20520,3598.52,14796.1,3615.16,5240.12,506.719,9685.7,3768.3,5.1739,2349.5,9680.64,"deer"
fountain-06.gif,72814,1447.5,22282.9,2579.6,4141.64,2381.62,7706.02,680.549,5123.36,859.71,526.415,44.9832,980.394,1702.87,279.286,707.561,321.117,364.823,393.294,453.566,26.104,56.6321,1002.06,437.713,233.577,"fountain"
device3-2.gif,170335,4108.61,1794.36,1294.95,27009.6,91832.8,19903.5,446.882,14081.5,5659.33,15060.7,1310.28,9.5867,7747.29,10689.5,7475.7,1359.91,499.104,360.326,4487.29,469.822,5938.1,1185.33,2017.73,396.307,"device3"
deer-10.gif,197254,17882.5,15133.8,26144.7,2176.09,2210.21,44216.2,27269.5,14721.6,4180.54,8911.71,5431.17,5758.66,8099.65,10502.1,1913.43,2322.78,4726.24,6495.76,6525.64,5032.12,6739.23,524.102,6744.1,900.367,"deer"
spring-5.gif,93790.4,17041.8,1061.36,2807.43,13524.2,4487.45,10437.1,573.669,6607.3,3672.99,6263.87,231.028,1563.02,854.943,1323.07,3389,1439.89,745.722,3437.09,608.046,1084.55,1371.18,161.568,2475.82,638.975,"spring"
shoe-6.gif,63944.2,23286.2,8106.44,415.919,657.305,23902.1,21709.5,5322.43,6168.13,2779.41,2613.46,5429.24,2571.6,1947.14,4022.19,3233.4,4523.03,545.53,207.493,1499.95,1459.99,1850.94,178.785,1142.83,1242.55,"shoe"
classic-5.gif,72306.1,50649.9,6991.68,19901.9,16959.4,17571.3,16397.9,10854.6,4833.57,854.065,5115.55,7389.95,6473.26,4103.34,438.117,15139.3,12170.5,4686.97,1508.55,3360.32,2442.4,6586.43,6409.89,2675.45,679.001,"classic"
device6-8.gif,263039,62227.5,5415.11,18629.6,10687.7,22361.2,204.43,24.7619,10225.7,9229.87,4457.97,1769.93,1952.41,7353.31,7669.78,1358.17,2303.97,600.98,1326.74,766.692,904.435,3914.93,1505.07,1227,1276.15,"device6"
cup-2.gif,82687.4,6056.01,6985.77,1985.25,18856.1,37382.8,2464.97,2702.45,6981.73,3281.03,8042.65,5882.07,875.226,8291.02,5687.41,2909.82,1974.97,1804.63,3329.52,2845.65,2285.63,12.6375,2669.35,1191.33,3063.86,"cup"
lmfish-8.gif,57737.4,3099.59,398.603,1447.51,5809.52,6470.22,3074.9,1221.5,2399.99,6281.74,1446.7,1533.93,1637.18,1613.07,2126.04,309.711,1895.71,92.442,107.848,539.787,700.089,1224.49,323.454,183.678,566.737,"lmfish"
pencil-8.gif,68836.2,49526,9075.91,18790.1,18268.5,13782.4,8470.9,31.7151,2637.31,1635,4413,2516.52,392.49,640.202,1674.74,2011.31,695.572,1377.64,1915.15,554.927,3060.19,3005.74,2239.81,1906.11,2243.14,"pencil"
chicken-4.gif,47968.2,1302.69,1592.78,4160.52,8158.93,2106.95,14386,1368.25,3747.74,7046.17,6252.43,4413.59,101.469,1665.46,5884.15,2477.02,1542.03,1192.07,1488.37,781.525,345.538,1181.41,1082.33,91.8374,927.092,"chicken"
chicken-2.gif,33135.2,2745.26,3947.02,8530.51,1108.87,1388.12,6843.46,481.647,5759.66,4623.36,449.425,1445.12,2435.81,636.685,2110.63,82.9358,1001.39,1353.47,318.45,1487.33,136.555,52.3785,316.116,147.315,1277.07,"chicken"
pencil-6.gif,66369.2,48871.2,11293.7,16672.9,19060.2,12147.3,7446.5,237.868,2739.99,1143.66,6926.24,5616.45,3791.44,3227.56,3175.35,386.39,754.491,1285.51,960.783,197.556,1575.26,1409.33,1076.81,1356.31,2128.15,"pencil"
device7-7.gif,194865,1064.32,66.0966,641.985,37022,47111.9,181.569,27.2217,1028.98,19128.1,14776.6,740.532,31.8878,1982.04,2131.92,5203.24,93.1323,47.1028,1185.39,2085,3608.81,49.8751,12.3077,1122.02,416.888,"device7"
car-03.gif,93161.1,26831.8,13066.5,595.795,3769.11,1905.92,2202.74,1925.33,1113.76,2841.87,227.771,1994.1,892.935,751.931,547.386,664.809,152.644,799.86,974.667,645.391,335.215,467.878,13.6467,155.388,360.472,"car"
pencil-5.gif,80053.6,23800.4,31503.7,14525.3,11208.9,7948.65,6730.72,1348.28,3903.6,1833.93,942.474,1582.65,1681.8,1079.22,2772.76,1474.02,697.908,690.36,541.107,615.031,969.142,588.297,99.9798,7.88597,1263.75,"pencil"
Heart-1.gif,61555.2,2531.44,9657.69,28423.2,2362.71,5606.18,14714.6,2618.03,5542.62,13045.1,1900.37,223.229,10029.5,1384.11,2437.38,2567.54,6884.74,384.506,1559.4,1370.47,2963.19,1134.19,695.396,3464.82,1339.01,"Heart"
device9-3.gif,186665,26299.1,1025.11,12410.2,27521.5,7099.33,19711.4,21010.5,5262.45,26424.2,2073.27,4313.56,5304.51,1296.63,1520.02,3359.03,2335.85,2638.35,2683.31,7557.24,2163.53,1059.37,1242.84,1792.77,1725.95,"device9"
horseshoe-10.gif,1492.16,176.742,44.6645,9.30842,232.465,91.3617,52.2632,116.166,142.47,22.1925,207.357,79.9649,151.628,94.2901,69.2463,35.5668,42.1222,17.5869,139.955,11.2688,25.1477,38.5775,7.40598,44.7056,125.947,"horseshoe"
horse-2.gif,589198,31677.1,21002.1,57467.1,88275.4,109315,38889.1,17437.4,10890.2,3632,34301.4,20836.7,570.138,14498.2,18727.5,6345.15,10739.3,2725.34,452.031,4092.52,3149,878.008,773.19,8272.42,8532.7,"horse"
bell-6.gif,7216.17,2309.68,456.06,246.092,391.284,2259.71,1141.63,1126.9,1738.09,732.113,138.232,684.454,292.685,281.996,936.519,337.928,150.486,113.777,170.036,145.84,296.032,186.669,50.8379,277.855,507.376,"bell"
bat-2.gif,164413,118748,22773.3,42911.3,37857.3,47341.6,35991.6,13774.5,1004.74,1928.88,2891.84,877.704,4171.35,8936.96,10667.6,11614.5,11602.2,8223.47,4021.27,1947.19,4507.55,3604.9,1569.46,613.076,2040.81,"bat"
bottle-07.gif,97360.9,27295.9,14082.8,3513.49,771.409,3611.01,728.756,245.207,142.182,1899.38,330.891,1114.51,98.6767,1272.17,307.131,879.976,827.861,35.1481,504.297,265.805,319.55,37.9578,39.7026,231.76,141.453,"bottle"
car-05.gif,91677.8,24313.5,10725.1,2610.05,2632.53,2210.58,1400.33,1350.23,765.332,44.8802,711.113,394.594,916.044,162.935,21.3375,399.763,275.959,118.243,670.757,542.062,10.0806,131.901,60.7149,237.289,222.763,"car"
Glas-6.gif,63053.1,23963.6,8006.18,997.811,17721.3,4924.75,5189.5,10627.6,19017.4,9257.74,3246.11,2496.39,270.853,372.862,2936.92,1846.89,6402.81,1008.96,5971.86,1161.56,109.431,443.221,2121.04,1097.25,981.977,"Glas"
sea_snake-3.gif,122344,7939.97,11904.8,4767.83,12834.3,10307.5,2912.48,12439.3,16940.4,6675.27,6597.71,1326.01,3230.75,5747.92,1345.46,5917.58,659.988,76.999,1656.27,258.04,1397.56,519.514,1089.83,1193.1,651.721,"sea_snake"
rat-08.gif,87909,12149.4,7834.74,455.899,4830.62,2807.5,2533.91,808.529,2335.59,790.942,333.638,328.449,2188.37,2912.55,1322.5,560.302,443.926,525.076,344.305,608.706,919.348,831.443,22.498,34.8211,292.295,"rat"
rat-09.gif,13130,11045.9,6675.91,3184.9,1364.2,4727.99,5220.84,3114.74,418.233,3133.17,2280.21,1462.91,928.475,1131.23,1730.51,833.147,574.123,397.388,557.874,749.48,46.83,533.296,771.285,901.324,1044.69,"rat"
lmfish-3.gif,49474.2,750.214,6085.6,1416.83,18954.2,13175.1,590.822,2442.74,4561.37,2139.62,9508.78,2764.36,5536.88,7985.82,1106.12,3165.22,1581.6,1663.1,1869.52,751.823,339.649,1333.04,1849.24,1849.14,1147.93,"lmfish"
bat-3.gif,492093,41974.9,22560.2,1620.94,55788.5,44036.4,44127.6,17548.6,317.781,70253.8,5233.55,2871.09,8407.12,14410.2,4916.84,4197.59,1961.5,5763.25,3343.41,1959.57,5245.08,682.897,4131.41,4557.23,4847.84,"bat"
jar-4.gif,214894,59699.2,3005.72,12658.6,8040.37,17253.4,1665.4,7176.56,18462.3,5160.56,994.29,5301.2,832.479,1339.47,81.4241,1211.49,2092.1,65.0674,1844.65,1605.29,319.113,334.197,72.7217,763.678,207.837,"jar"
Glas-8.gif,53603.1,15351.6,10288.8,352.57,16520.6,9493.77,9792.52,9873.56,18602.8,7615.61,3794.27,3010.29,398.19,984.165,3150.19,2507.15,4211.73,1170.78,4349.29,2221.41,619.769,1135.65,691.732,449.958,735.816,"Glas"
device4-6.gif,250632,30080.6,12170.2,12318.9,35794.6,57285.1,15453.3,10292.6,7422.71,24796.5,10174.2,3370.93,6014.62,5280.55,429.607,7489.58,1181.38,1094.96,660.077,1944.32,3144.64,59.9973,1158.8,1987.57,551.833,"device4"
apple-7.gif,33830.3,6806.7,861.976,457.981,9419.57,17731,4671.66,235.908,514.72,6572.45,1899.07,1587.02,2614.4,1412.9,1507.43,725.566,2541.61,1354.2,799.523,700.556,84.1478,810.257,1727.41,1696.94,948.183,"apple"
spring-9.gif,180620,73459.5,28557.1,20965.8,2567.89,19871.8,25342.2,3578.11,18052.8,3525.69,358.074,7539.79,4346.85,1236.2,6638.33,765.903,6285.77,157.876,1550.01,1246.05,393.032,3746.12,2953.66,2200.1,561.01,"spring"
brick-04.gif,90173.3,23605.3,4669.08,5321.81,9801.04,2298.98,10605.6,4933.28,3954.3,40.13,820.959,899.862,69.7807,447.905,66.9268,1246.18,297.893,315.093,258.208,1086.17,384.762,650.238,246.993,157.374,374.545,"brick"
shoe-1.gif,103039,34235,21398.4,1547.09,4760.67,25055.4,37632.1,15768.2,11410.3,2435.01,5015.24,7135.71,776.856,3563.17,807.214,482.202,2388.09,1515.8,2153.31,903.49,2599.76,108.648,967.999,259.239,2447.53,"shoe"
Heart-8.gif,60031.2,3483,4106.85,24617.8,8071.95,16383.9,4115.11,8966.59,11500.7,4882.1,4052.81,2341.97,692.781,4337.3,7355.41,2387.67,5445.91,2057.05,3908.57,3053.51,2129.18,1915.11,636.471,2329.97,88.6593,"Heart"
guitar-2.gif,39038.1,32163.9,16719.9,2999.49,3056.52,2521.35,5829.31,6574.56,4956.63,2431.86,3463.95,1041.91,1081.24,292.833,2463.04,1789.06,2508.95,2231.7,1695.13,1736.94,1571.94,1402.64,867.85,703.758,984.964,"guitar"
lizzard-7.gif,147099,31373.5,23923.1,3367.25,8354.08,21309.8,31525.6,2289,14510.3,4933.08,4767.06,59.6709,7281.82,2133.71,2317.76,4943.75,768.807,707.91,2069.78,3628.57,1629.62,235.433,1916.44,581.547,48.0949,"lizzard"
device0-7.gif,205792,26672.6,1950.98,9292.47,32587.3,1896.14,29471.2,2203.29,14239.8,1711.9,7978.26,3452.39,3497.78,3722.09,2762.4,828.54,3571.14,104.708,363.604,550.506,3242.82,282.52,882.298,123.969,1966.33,"device0"
tree-7.gif,57769.7,4607.27,4144.84,1061.16,10797.7,9567.88,2127.07,2303.26,2348.16,1786.45,1247.88,2428.74,274.897,1281.45,1275.9,408.15,1132.24,25.0888,176.924,465.737,234.449,365.272,321.832,555.338,107.292,"tree"
chopper-01.gif,86376.6,4781.59,8488.8,713.928,13072.9,9541.57,7637.82,514.976,4576.47,2325.6,1970.64,497.935,1702.08,798.008,1201.99,1620.41,1347.94,698.363,762.352,1614.33,951.785,809.236,435.705,607.48,148.648,"chopper"
device2-4.gif,216869,6026.8,4.15848,372.264,21036.8,47598.2,1177.2,123.981,6301.45,11869.3,12022.7,3175.85,94.1979,5345.19,11008.2,6309.94,2855.25,44.0092,2750.44,3855.46,1776.57,2974.93,444.809,2300.31,2880.28,"device2"
face-5.gif,51891.3,5899.06,1559.03,647.161,12928.6,21420.9,4783.46,8413.67,10190.7,2384.3,5072.98,5602.97,2712.42,4356.4,2963.88,1698.14,232.744,1514.54,1210.86,1546.82,881.621,934.835,928.75,570.016,919.859,"face"
pocket-2.gif,3536.23,566.402,480.443,112.504,209.099,197.902,331.432,294.423,480.593,250.607,49.3153,17.7681,5.90926,43.0978,100.517,4.93759,38.1536,33.2563,140.663,117.791,171.257,4.01473,49.2903,124.372,45.9983,"pocket"
face-4.gif,50822.3,4498.32,594.661,253.176,13286.1,20260.5,3811.88,7816.63,10556.2,2036.92,6054.4,5010.36,2793.43,4757.38,3131.72,2137.64,835.745,2381.63,747.004,1694.6,1596.25,366.661,262.617,85.9855,1265.74,"face"
cattle-6.gif,58528.2,22353,14902.4,6914.55,8521.4,9924.73,17183.5,10836.7,5589.89,5637.93,154.179,2658.53,2983.41,2156.98,6040.87,829.84,4759.91,2324.66,40.2159,1313.44,1337.93,1521.55,3001.71,2127.68,1037.06,"cattle"
horseshoe-3.gif,19829.2,3776.02,506.826,1301.46,1636.04,3825.82,2108.63,332.06,818.21,781.92,547.667,2364.63,447.92,1818.51,270.826,225.159,414.468,534.33,768.519,1313.78,1026.78,199.865,213.921,673.124,101.858,"horseshoe"
guitar-7.gif,114612,60783.3,1138.02,6303.03,19794.5,23568.1,42043.2,4487.94,25488.9,8303.52,4008.34,8404.46,621.464,1320.97,2694.4,1063.35,1763.63,22.6281,6382.58,29.4798,6059.28,1581.78,773.961,274.71,2676.5,"guitar"
turtle-7.gif,71174.3,18073.8,24398.4,15100.2,7462.65,21081.2,14686.6,1271.68,16866.9,7616.97,5446.75,5778.87,5280.7,1320.82,1775.5,298.246,1773.49,440.148,704.305,2011.6,2114.41,804.33,199.069,1143.77,800.163,"turtle"
device9-1.gif,188136,27799.6,196.476,13566.2,26412.2,817.393,10017.1,16958.5,11635.3,27569.3,3374.56,7840.31,6068.55,725.251,1547.92,3205.41,1962.04,3212.32,2320.79,3264.03,2929.86,731.036,2538.02,685.642,2484.34,"device9"
rat-05.gif,88112,11975.7,7624.81,710.651,5063.12,2792.05,2164.01,1449.73,2081.72,1238.56,245.167,221.991,1534.93,2802.76,1830.94,406.911,386.452,491.207,483.66,650.315,397.707,1062.38,184.97,97.6595,13.2931,"rat"
face-8.gif,51671.3,4112.92,1545,153.208,13627.6,21530.8,3873.96,7977.2,8510.46,3412.78,2561.96,6327.03,2628.87,3527.67,3123.67,1049.13,578.309,868.046,1495.27,2000.45,553.934,729.893,1390.74,265.752,722.536,"face"
rat-01.gif,88496,11942.8,8065.44,1173.2,5085.08,2940.02,1661.06,2299.24,2263.9,1290.89,604.867,254.543,1409.89,2936.09,2366.9,513.763,521.633,1115.38,916.497,630.637,135.984,925.375,129.201,419.391,209.406,"rat"
truck-06.gif,97714.5,44329.2,11528.8,9433.98,7456.68,651.26,1081.61,1549.06,1473.83,798.469,300.848,296.038,491.738,96.533,172.914,180.14,191.022,265.338,50.303,208.319,51.3231,413.733,200,19.7043,3.18344,"truck"
device3-9.gif,206634,4563.16,800.953,529.886,21609.8,91849.9,2933.68,224.029,3948.52,16358.1,2727.71,3613.8,223.028,6191.19,3111.75,15514.5,419.641,790.535,592.454,9077.74,2058.68,2314.97,816.833,4289.83,1840.71,"device3"
bell-2.gif,1558.19,527.461,193.218,219.867,311.686,556.099,149.938,12.1318,326.734,303.35,194.014,252.869,14.419,93.8416,4.26239,17.1381,50.5455,62.5036,89.3875,34.979,37.21,35.5739,7.66649,3.51372,114.25,"bell"
spoon-9.gif,59380.5,5970.35,5143.78,1676.03,12779.4,4238.94,1706.77,1935.66,379.812,3606.66,38.0906,1885.07,799.683,1020.71,1426.52,315.219,2146.18,113.392,421.787,218.487,611.541,1233.8,205.974,392.21,611.295,"spoon"
frog-7.gif,53615.2,17970.3,169.739,5304.64,4844.49,8238.49,5115.41,9246.3,8776.76,1705.35,5124.47,6982.73,6924.61,300.437,1758.58,1657.68,1395.87,2864.79,247.983,1491.8,2525.44,2668.44,2131.85,624.221,1171.68,"frog"
dog-3.gif,172926,53975.1,9679.99,2528.45,7317.28,10991,14713.5,672.96,10837,3959.7,2069.04,10698.4,276.475,5501.84,550.537,3787.56,5823.13,2418.96,1625.68,3324.72,957.151,5777.71,2982.92,4360.62,2061.62,"dog"
brick-05.gif,85303,2972.67,19540.7,432.656,3013.35,2156.86,4317.76,5669.18,3146.75,228.249,3435.72,398.193,864.075,297.212,714.715,901.323,691.322,558.952,453.444,373.737,942.309,55.2445,3.76967,392.878,798.899,"brick"
fountain-03.gif,73118,2229.89,22197.5,2311.98,3119.6,4411.56,6964.84,1547.95,4909.52,1623.15,140.05,162.334,459.671,458.937,349.535,183.768,147.097,404.357,968.307,43.3156,232.955,544.506,420.959,722.687,371.116,"fountain"
apple-2.gif,31002.3,3938.22,567.017,1171.71,8949.84,18815.8,35.3356,381.146,2253.85,911.515,7635.27,149.27,278.835,1769.82,2132.55,3068.07,714.185,813.247,461.774,44.342,396.857,947.784,838.261,27.7026,275.187,"apple"
device9-6.gif,198527,32537.4,740.277,10378.7,26983.7,1574.57,11499.4,18217.6,10742.1,26548.5,2581.93,7010.99,7173.08,788.264,1432.46,1642.16,1560.26,4857.69,4789.22,5888.86,3436.61,740.191,1016.13,21.0583,1651.87,"device9"
dog-7.gif,168770,66254.7,4784.33,5378.61,303.914,3281.16,15443.8,9374.06,14933.4,3356.15,664.758,15939,5905.88,4705,7869.45,8175.13,3687.82,171.03,1146.41,3884.5,1784.39,1288.75,119.751,947.531,2233.04,"dog"
deer-8.gif,323326,53136.6,49991.3,37360,26694.3,3075.87,47584.4,51653,13035.5,10357.7,25998.7,22357.1,20410.1,11807.5,657.926,12743.6,5326.54,14244.8,2305.35,770.308,11613.6,3985.13,826.599,1605.68,8307.73,"deer"
