"","HuMoments1","HuMoments2","HuMoments3","HuMoments4","HuMoments5","HuMoments6","HuMoments7","BlackRate","WhiteRate","Fourier-0","Fourier-1","Fourier-2","Fourier-3","Fourier-4","Fourier-5","Fourier-6","Fourier-7","Fourier-8","Fourier-9","Fourier-10","Fourier-11","Fourier-12","Fourier-13","Fourier-14","Fourier-15","Fourier-16","Fourier-17","Fourier-18","Fourier-19","Fourier-20","Fourier-21","Fourier-22","Fourier-23","Fourier-24","className"
shoe-10.gif,0.257088,0.0385832,0.000579653,0.000129609,3.0387e-08,1.86534e-05,-3.42076e-08,0.584823,0.415177,73828.3,28063.5,14531.8,4562.46,1538.86,25069.5,28731.2,11014,8607.39,4149.31,276.234,6948.19,1039.28,4176.95,187.817,1384.47,3079.51,466.599,1187.95,1298.11,1077.31,1470.44,957.788,1008.21,859.57,"shoe"
cellular_phone-9.gif,0.272859,0.0458974,0.000275424,7.51428e-05,9.16106e-09,6.31015e-06,5.4794e-11,0.490468,0.509532,34937.1,22816.8,1757.74,16301.6,11198.9,12225.5,9610.57,2409.43,1871.04,426.808,4239.79,3974.48,1643.77,379.966,1532.3,4844.78,4187.34,2578.03,1671.92,1739.25,2330.22,1553.73,611.47,635.72,1469.76,"cellular_phone"
camel-7.gif,0.214178,0.00241527,0.00104104,5.07424e-05,-2.28979e-09,-3.34001e-07,7.51839e-09,0.699832,0.300168,93935.5,2180.52,13993,4497.01,9312.57,8126.89,22223.5,2872.17,10873,4541.52,9027.7,3095.27,867.412,1372.1,347.917,550.573,3556.08,347.991,71.3099,1568.14,590.536,887.164,1409.55,781.508,959.515,"camel"
butterfly-10.gif,0.282697,0.0207643,0.00497064,0.00117673,2.11833e-06,3.1311e-05,2.00752e-06,0.594486,0.405514,67410.2,26195.7,2571.12,4667.22,4467.73,6657.01,14718.6,528.634,6510.4,4079.93,2030.32,6184.58,3764.35,2669.4,2677.18,2283.62,268.076,967.582,2505.7,2099.13,156.97,1830.63,891.744,2654.81,1194.58,"butterfly"
spring-5.gif,51.9586,1741.37,3628.42,411.719,76490.7,3229.93,-103139,0.750476,0,93790.4,17041.8,1061.36,2807.43,13524.2,4487.45,10437.1,573.669,6607.3,3672.99,6263.87,231.028,1563.02,854.943,1323.07,3389,1439.89,745.722,3437.09,608.046,1084.55,1371.18,161.568,2475.82,638.975,"spring"
Bone-10.gif,0.859995,0.64549,0.0672202,0.0507535,0.00296444,0.0407696,0.00142613,0.800482,0.199518,125454,20676.3,582.906,11377.5,14867.9,319.106,36085.4,10277.5,7189.72,4537.77,370.995,2667.58,7435.6,5781.01,5832.49,4793.22,4710.2,1885.33,2441.73,4787.02,1813.18,148.514,1704.07,65.4472,2300.07,"Bone"
chicken-9.gif,0.237355,0.010116,0.00624119,0.000368971,9.18975e-08,1.36974e-05,-1.86674e-07,0.567805,0.432195,5954.22,1086.71,858.928,15.554,1113.94,513.686,1740.64,268.531,312.301,422.661,616.803,630.123,415.086,17.4142,505.667,238.499,91.2797,107.378,644.083,161.492,62.1435,63.4986,96.8436,72.6938,315.639,"chicken"
camel-9.gif,0.193532,0.00141708,0.00064434,3.53681e-05,-4.36268e-09,-1.32016e-06,-2.43767e-09,0.646256,0.353744,87180.4,2050.45,5813.85,3737.57,12780.1,36627.9,7295.96,2715.61,3554.62,8696.5,2857.38,1569.82,3764.48,4402.31,4843.58,4510.86,1193.63,1055.61,1935.25,1190.33,329.471,1503.03,259.956,1298.04,1259.58,"camel"
device5-4.gif,0.250362,0.000142193,5.15321e-05,7.24212e-07,4.16553e-12,6.99192e-09,3.6401e-12,0.828252,0.171748,257889,52731.8,804.341,16842.2,16160.7,16751.1,2045.75,453.774,4315.98,7697.47,196.662,3363.06,5667.77,3851.14,3323.04,3107.85,656.564,52.3284,1310.79,808.897,1953.61,1767.23,248.1,222.516,956.85,"device5"
bird-1.gif,24.4375,105.591,6682.88,269.571,342305,466.597,-152921,0.609019,0,76254.2,24223,23822.3,5309.81,10011.9,6802.03,14031.9,8609.87,2046.62,1223.03,2461.22,9987.09,3386.6,941.388,982.701,1933.14,4808.69,1280.42,2108.68,417.138,2258.71,919.942,1149.26,1503.16,3243.46,"bird"
lizzard-4.gif,0.305972,0.0289826,0.000205665,0.000709338,-1.98186e-07,-4.10759e-05,-2.61663e-07,0.627612,0.372388,52860.2,10151.8,13266.4,749.476,319.073,839.409,9911.6,7242.7,2518.7,2107.25,3128.16,5317.27,347.496,1359.13,1687.31,2445.03,835.277,1245.58,869.96,3574.51,1110.24,875.368,1832.1,595.928,105.984,"lizzard"
device9-6.gif,0.182741,9.03336e-06,5.79949e-07,3.36122e-07,5.32229e-14,-1.89827e-10,6.39422e-14,0.637601,0.362399,198527,32537.4,740.277,10378.7,26983.7,1574.57,11499.4,18217.6,10742.1,26548.5,2581.93,7010.99,7173.08,788.264,1432.46,1642.16,1560.26,4857.69,4789.22,5888.86,3436.61,740.191,1016.13,21.0583,1651.87,"device9"
bell-2.gif,0.183452,0.00266161,0.00167554,1.04581e-05,1.20554e-09,4.90713e-07,3.51953e-10,0.412606,0.587394,1558.19,527.461,193.218,219.867,311.686,556.099,149.938,12.1318,326.734,303.35,194.014,252.869,14.419,93.8416,4.26239,17.1381,50.5455,62.5036,89.3875,34.979,37.21,35.5739,7.66649,3.51372,114.25,"bell"
device2-8.gif,0.170697,1.42749e-07,8.31506e-08,3.45081e-08,-1.57947e-15,1.29945e-11,1.1906e-15,0.548054,0.451946,143669,1154.41,116.964,611.649,26587,82611.3,1929.62,80.7725,2216.59,16077.7,7830.64,1556.54,109.141,2727.55,3301.32,1296.3,814.461,9.51768,611.552,2238.98,3969.55,282.439,19.5047,758.161,690.723,"device2"
deer-9.gif,0.310671,0.0332678,0.000689145,0.00010839,1.91378e-08,-1.64631e-05,2.54018e-08,0.723972,0.276028,323326,68752.4,29957.6,21941.6,49126.3,12432.9,87437.3,14316.8,2995.27,22148,10689.7,4172.4,2808.89,18320.3,20520,3598.52,14796.1,3615.16,5240.12,506.719,9685.7,3768.3,5.1739,2349.5,9680.64,"deer"
device2-4.gif,0.311434,2.82154e-07,5.1268e-06,1.03669e-06,2.02692e-12,-5.0556e-10,-2.31879e-12,0.827286,0.172714,216869,6026.8,4.15848,372.264,21036.8,47598.2,1177.2,123.981,6301.45,11869.3,12022.7,3175.85,94.1979,5345.19,11008.2,6309.94,2855.25,44.0092,2750.44,3855.46,1776.57,2974.93,444.809,2300.31,2880.28,"device2"
octopus-2.gif,0.170673,0.000151436,0.000111855,2.09679e-05,-3.68237e-10,2.24867e-07,1.55011e-10,0.582001,0.417999,38142.4,5556.24,510.841,1897.6,7092.17,19988.1,2491.77,136.748,1978.45,1656.84,4890.34,1687.47,2074.81,820.563,1939.48,1369.28,1269.03,377.266,968.438,964.904,313.332,38.441,533.062,805.389,1102.01,"octopus"
device6-3.gif,0.181778,2.55333e-05,1.04931e-06,3.54183e-07,-1.84022e-13,1.59326e-09,1.77389e-13,0.735515,0.264485,229014,26448.1,5529.16,11267,30093.3,11956.2,24062.3,2867.69,1157.69,18982.7,3904.49,6165.79,243.968,1403.38,5511.18,2890.73,256.076,740.45,4135.21,7087.55,4630.82,1030.05,2465.8,124.224,1644.48,"device6"
watch-10.gif,0.528273,0.249403,0.00102419,0.000719811,6.16996e-07,0.000337955,4.40119e-07,0.849698,0.150302,104088,31185.8,35489.8,14491.9,10369.5,3051.61,12566,11242,2678.63,4619.52,2384.68,4494.79,1668.12,2413.37,428.205,1238.38,422.077,196.848,1029.33,2832.97,867.828,264.687,70.3393,368.663,407.364,"watch"
lizzard-8.gif,0.384639,0.0696407,0.000839498,0.00141125,1.06259e-06,4.70677e-05,1.08191e-06,0.773032,0.226968,119752,60.1104,31.9629,8273.98,20898.9,18034.8,12774.3,8131.09,1106.4,11847.9,5596.61,1369.59,5682.31,5338.86,1105.11,2878.11,1328.56,97.2007,1375.62,261.665,782.645,46.6355,1295.81,835.124,489.834,"lizzard"
crown-7.gif,0.250186,0.0171164,0.00088461,0.000227832,-9.02411e-08,-2.68146e-05,8.42218e-08,0.547964,0.452036,2759.19,1679.67,92.0534,591.34,222.827,1054.67,606.82,66.5605,295.698,106.873,35.3344,77.4012,192.683,199.794,170.286,204.896,107.887,55.5412,91.4657,87.5108,24.5915,25.483,13.3449,2.61306,16.0036,"crown"
apple-1.gif,0.161964,4.35994e-06,4.6057e-05,2.70515e-06,3.01204e-11,5.0011e-09,-2.28085e-11,0.568497,0.431503,37257.4,2592.04,71.0403,1483,9376.68,20664.9,67.4485,245.17,2442.75,537.34,4199.58,990.234,4.50289,1187.94,2478.44,811.306,1969.59,568.412,216.134,585.741,900.801,2803.74,157.307,184.004,81.2273,"apple"
bird-10.gif,0.273075,0.0192381,0.01345,0.000963201,-3.21681e-06,-0.000127446,6.74745e-07,0.808802,0.191198,121758,7528.38,9919.3,6923.03,18585.1,20425.5,11426.3,4563.05,7268.09,4394.81,1120.3,4935.09,4188.89,1694.81,604.086,107.162,2687.09,577.824,1643.64,249.063,2238.97,259.42,1291.93,129.686,505.744,"bird"
brick-08.gif,0.301522,0.0610201,0.000223956,7.22762e-05,9.14883e-09,1.77895e-05,3.31798e-09,0.892766,0.107234,90506.3,23683.9,4987.36,5386.21,9476.12,2313.15,10487,4993.46,3852.57,108.877,1011.88,777.087,118.607,127.928,170.747,1377.87,243.721,168.481,186.057,1135.19,377.96,648.091,226.149,238.374,376.363,"brick"
pocket-6.gif,0.253437,0.00750147,0.00298639,0.000496714,6.00624e-07,4.28561e-05,-1.41546e-07,0.502793,0.497207,32943.2,11082.5,4838.35,1308.59,632.999,3530.57,3109.5,4287.69,3133.22,5646.15,3512.67,1263.28,270.795,631.515,1683.17,2389.24,697.752,951.668,602.778,1103.21,1033.94,468.023,238.855,717.801,825.996,"pocket"
Bone-3.gif,0.944279,0.794079,0.02507,0.0167259,0.000342482,0.0148971,0.000149542,0.818023,0.181977,128203,16400.9,5117.7,10389,13878.2,3298.9,38095.5,8930.43,2781.33,1589.09,382.102,1628.87,3175.59,5331.16,1478.08,4361.52,1201.21,4369.42,1572.82,793.336,566.265,3035.95,1200.69,2117.79,718.366,"Bone"
carriage-01.gif,0.378849,0.093266,0.00205043,0.00153828,2.73185e-06,0.000468723,8.3941e-07,0.901219,0.0987808,91363,6956.74,12292.6,5518.42,1895.54,1914.47,390.603,254.398,417.367,236.445,151.522,1003.87,1468.54,1549.61,39.1552,209.661,847.537,375.885,513.249,1211.89,317.287,219.001,446.594,201.906,536.906,"carriage"
children-1.gif,0.330605,0.0811236,0.000443869,0.000309951,1.14964e-07,8.81222e-05,3.15277e-08,0.924148,0.0758523,78073.6,13138.9,23083.5,6926.56,2372.99,2966.23,1786.26,2655.3,2799.5,1135.42,413.503,157.334,1115.93,495.155,1162.5,1066.44,113.349,137.773,182.586,651.807,447.312,53.1473,88.5924,22.2767,616.716,"children"
classic-8.gif,0.298647,0.0583992,0.00243422,0.000788136,1.0243e-06,0.000153409,-1.03299e-06,0.518555,0.481445,169682,116027,7864.19,57032.4,41768,50784.2,58014.5,38540.4,12639,138.111,5203.84,5053.09,436.865,1351.53,7002.58,6212.15,11528.9,10968.3,5890.83,969.447,5241.21,2143.77,2150.55,5096.04,7494.15,"classic"
turtle-1.gif,0.218796,0.0172989,0.00028747,0.000119475,1.83289e-08,1.14378e-05,1.80344e-08,0.720202,0.279798,65233.4,536.96,3232.49,1932.28,10903.6,16699.6,6689.88,6269.04,935.076,6256.62,1498.17,2246.71,282.653,3677.23,1651.13,1071.69,2687.63,34.2885,413.146,735.39,127.127,245.333,155.659,254.199,632.372,"turtle"
lmfish-2.gif,0.317079,0.0693098,0.000340291,3.39051e-05,-1.48257e-09,-6.75225e-06,3.12637e-09,0.777259,0.222741,337548,8513.97,7901.62,3113.34,35492.4,55544.4,15811.6,10985,15339.3,44183.6,14297.7,6426.27,5269.38,5583.49,15307.4,1812.84,7602.97,2353.73,3649.9,4712.73,1185.17,3814.33,2154.56,710.283,1713.24,"lmfish"
spoon-8.gif,0.79267,0.577184,0.0874971,0.0761262,0.00621151,0.0573987,0.00127512,0.906067,0.0939331,59380.5,5678.55,3351.72,319.504,9382.75,4642.64,2087.11,960.28,233.849,5541.48,239.923,1853.52,424.732,592.931,2164.43,306.857,2002.36,233.424,5.70772,341.025,510.527,999.961,471.36,482.375,591.976,"spoon"
device8-10.gif,0.382627,0.011472,0.066385,0.000403463,-2.08562e-06,-4.26354e-05,-2.81078e-08,0.84987,0.15013,264620,27054.8,2990.14,24729.4,37791.8,50909.9,7823.53,4837.68,24735.9,1391.63,7500.26,8513.93,1806.96,5284.73,7521.55,152.167,7015.49,369.496,267.676,176.602,995.825,2543.19,926.254,14.7823,993.001,"device8"
butterfly-5.gif,0.206647,0.00606964,0.0016958,0.000152957,-7.78635e-08,-1.19139e-05,-7.18773e-08,0.512953,0.487047,56709.2,16922.8,8188.61,7364.96,13076.6,10050.1,6444.69,7850.13,1532.09,3261.19,1026.96,3606.59,4561.55,535.754,1060.8,4102.67,393.617,640.827,1615.49,3024.05,2282.89,176.612,942.494,836.914,2830.43,"butterfly"
turtle-8.gif,0.230296,0.0226413,0.000291954,0.000113439,1.75906e-08,1.29625e-05,1.17084e-08,0.809433,0.190567,204714,23140.4,11273.6,9208.6,25474.3,18732.7,26700.9,4765.92,16642.1,10354.6,833.85,1943.76,2491.42,4590.17,3939.02,3336.56,4432.87,1273.66,1217.62,1955.61,441.847,1345.37,122.533,1004.23,550.856,"turtle"
frog-6.gif,0.199826,0.00662145,0.00159262,0.00015192,7.16104e-08,1.21864e-05,-5.84634e-08,0.483781,0.516219,53615.2,14590.3,539.634,7669.94,20368.8,9162.3,12233.8,684.04,3494.14,4630.46,9019.2,3843.24,4066.37,4338.89,2575.94,1657.87,1353.62,687.512,616.787,1189.68,2125.09,3613.48,1213.25,188.941,1071.25,"frog"
Comma-10.gif,0.216014,0.0182537,3.79827e-05,1.22624e-05,6.05564e-11,2.97067e-07,1.79024e-10,0.391018,0.608982,44072.1,2626.69,6896.1,6488.23,1325.66,21214.1,12407.3,13608.7,7255.06,7352.17,3364.78,7158.78,1040.4,3703.17,2842.61,2322.84,1501.93,3323.07,1149.22,1753.56,4213.49,751.297,1235.3,1526.71,3062.42,"Comma"
device8-9.gif,0.470725,0.0361286,0.101588,0.00029124,-1.26778e-06,-5.1849e-05,-9.87149e-07,0.867547,0.132453,270124,31122,8628.42,21398,38757.7,43639.7,10877,2879.37,23819.5,1648.05,5692.32,9375.26,2200.34,6954.25,4135.44,832.502,7904.7,235.971,1960.13,1110.64,1143.74,2546.89,1564.97,1692.81,1206.73,"device8"
device7-5.gif,0.184723,5.83969e-09,2.44247e-09,2.69281e-09,5.49732e-18,1.85109e-13,4.01739e-18,0.55957,0.44043,146688,1675.52,4.63768,610.121,36959.9,74641.5,1315.28,6.01998,1213.75,14118.1,14869,527.965,46.1782,1913.21,7797.04,9088.09,430.226,28.4827,1028.76,4386.72,6429.37,691.297,48.4731,1240.1,3650.26,"device7"
carriage-05.gif,0.408861,0.110142,0.0028762,0.00321866,9.78403e-06,0.00106773,3.88074e-06,0.90695,0.0930496,91944,7595.33,12890.1,4472.05,2484.29,2588.05,793.443,1053.06,1262.89,239.178,381.121,527.011,1299.22,1512.47,17.557,587.299,389.028,52.6261,339.334,764.183,441.594,311.011,299.71,233.978,281.782,"carriage"
beetle-1.gif,0.369637,0.0362407,0.00829223,0.00302348,-1.50322e-05,0.000574134,-1.36292e-05,0.849993,0.150007,343890,21754.2,28018.5,11242.6,47992,27251.7,14703.1,5476.76,5482.54,39561.7,7170.06,18211.3,923.035,3152.12,2636.15,1245.46,11500.8,3442.29,2416.16,2554.55,658.344,1689.89,5196.87,1524.61,3088.22,"beetle"
chicken-2.gif,0.215706,0.00494038,0.0030756,5.58112e-05,-2.12027e-08,-2.55331e-06,1.88234e-08,0.475954,0.524046,33135.2,2745.26,3947.02,8530.51,1108.87,1388.12,6843.46,481.647,5759.66,4623.36,449.425,1445.12,2435.81,636.685,2110.63,82.9358,1001.39,1353.47,318.45,1487.33,136.555,52.3785,316.116,147.315,1277.07,"chicken"
pencil-4.gif,0.7049,0.466217,0.0356147,0.030167,0.000988792,0.0205763,-0.000253123,0.876911,0.123089,76065.4,41296.3,17680.1,31991.3,3753.62,4466.11,10263.6,10646.9,3012.46,4255.4,399.608,923.173,1463.07,2606.56,886.474,1142.24,1240.87,1439.31,1585.27,1745.53,426.462,865.296,191.571,604.839,222.129,"pencil"
octopus-8.gif,0.195493,0.000572946,0.000100155,8.30746e-05,7.54754e-09,-1.84372e-06,-2.91262e-09,0.528931,0.471069,34664.3,1548,2504.46,2827.69,5684.95,13803.9,2672.07,163.413,345.513,5736.69,1721.91,773.102,999.854,1286.24,1675.53,720.864,1033.51,604.831,189.131,624.178,614.512,1547.3,280.724,55.0517,812.715,"octopus"
device4-4.gif,0.19344,8.94681e-05,0.00430905,1.65002e-05,-1.66258e-09,-1.11286e-07,4.24291e-09,0.784371,0.215629,244226,3653.89,19331.5,4534.78,26116.3,7871.39,23855.6,1219.78,22450.8,9429.31,438.787,4399.63,2255.95,79.8487,2254.61,7362.1,10.7282,151.576,2008.58,7778.21,445.696,3944.95,1675.61,945.851,5.8987,"device4"
spring-2.gif,81.4763,4250.6,8314.24,311.985,-275798,-20281.7,-242537,0.830059,0,109440,27747.2,19398.4,1230.84,2796.76,2077.23,15961.4,2592.87,4457.16,6260.66,811.382,1415.97,658.715,971.44,273.594,3518.71,1557.37,2474.27,538.533,2376.52,1939.88,3034.65,907.953,1729.02,1347.61,"spring"
device6-8.gif,0.195241,7.03421e-05,1.11273e-06,3.61305e-06,4.90771e-12,2.28337e-08,-2.74798e-12,0.844793,0.155207,263039,62227.5,5415.11,18629.6,10687.7,22361.2,204.43,24.7619,10225.7,9229.87,4457.97,1769.93,1952.41,7353.31,7669.78,1358.17,2303.97,600.98,1326.74,766.692,904.435,3914.93,1505.07,1227,1276.15,"device6"
Comma-5.gif,0.231329,0.0239114,0.00020018,5.8709e-05,5.26133e-09,2.03044e-06,5.60612e-09,0.487617,0.512383,61408.1,9709.04,7296.17,12297.3,2900.33,26381,27237.6,18931.4,10966.1,6332.9,9285.11,9427.69,4322.35,6286.44,2056.57,3155.36,4105.29,2430.2,5166.23,1036.91,2676.65,2014.08,572.019,908.333,4365.38,"Comma"
hammer-2.gif,0.95403,0.770195,0.330138,0.207092,0.0541299,0.180618,-0.00406537,0.919769,0.0802307,60278.5,9016.93,2315.68,1934.9,8275.43,2712.49,4029.53,3094.55,1821.38,5150.68,159.081,591.646,1440.58,443.069,2428.29,316.868,1695.21,567.361,1595.03,1888.01,833.941,654.18,498.045,266.893,1255.41,"hammer"
elephant-8.gif,0.203195,0.00347813,0.000266248,0.000117377,-1.58111e-08,-1.95233e-06,-2.02967e-08,0.374417,0.625583,106134,21456.6,45157.9,16686,3903.13,6390.26,21569.5,11114.3,10194.6,5852.37,5228.12,8323.89,5935.36,1533.39,19007.9,4780.69,6329.72,3635.73,1882.86,12779.1,3210.76,2751.96,4106.64,2914.96,2779.84,"elephant"
apple-10.gif,0.163802,2.69139e-05,8.42774e-05,7.31556e-06,1.79048e-10,3.79258e-08,1.50119e-10,0.572205,0.427795,37500.4,175.064,1193.82,867.665,8918.88,17137.8,6395.33,2318.94,1864.11,3029.86,1834.86,1071.25,531.937,1743.38,2045.78,2886.3,193.548,644.138,1003.82,79.7024,928.813,193.789,531.997,398.431,647.672,"apple"
Comma-8.gif,0.233332,0.0157792,0.00117511,0.000704354,4.59376e-07,7.71701e-05,-6.3856e-07,0.481129,0.518871,60591.1,5999.24,17812,3815,918.214,17225,22386,19429.3,25189.3,4201.5,5244.6,821.845,3664.39,5530.73,1418.3,4639.09,3959.42,3629.76,1709.22,3271.89,2934.2,1511.96,185.355,789.149,555.009,"Comma"
chicken-5.gif,0.229021,0.00212154,0.00545591,6.20207e-05,-9.75611e-10,1.88749e-06,6.41243e-10,0.789985,0.210015,131505,20577.5,4095.98,9303.62,27531.5,24047.5,18013.1,3839.32,11259.5,4686.36,960.177,2100.99,1371.59,459.196,30.6797,496.441,3600.64,496.244,762.79,555.323,3444.16,384.753,323.425,539.752,3367.2,"chicken"
chopper-04.gif,0.191796,0.00493258,0.000601097,7.17619e-05,1.33946e-08,4.66551e-06,1.75451e-09,0.881274,0.118726,89341.1,11985.6,10296.7,2764.8,5979.05,3288.45,6567.96,5549.51,134.783,1089.08,2355.2,540.607,4.8765,1610.97,1718.56,98.9725,1638.65,103.698,59.0063,194.41,702.321,193.803,411.872,809.129,461.755,"chopper"
bell-3.gif,0.186715,0.0045758,0.00147833,2.92039e-05,6.06518e-09,1.97244e-06,1.18122e-09,0.443512,0.556488,14902.2,3895.83,1823.93,258.655,911.911,4528.16,677.886,171.573,4035.09,286.571,1312.29,384.638,707.635,1063.27,1125.53,239.125,1996.17,878.792,28.6052,683.172,333.309,596.47,54.5838,328.129,422.599,"bell"
horseshoe-8.gif,0.348147,0.00161063,0.00259559,0.00149204,-2.91747e-06,-5.98757e-05,1.718e-08,0.561872,0.438128,2125.24,234.274,94.8329,8.13627,289.84,57.575,54.9192,451.153,88.0043,124.391,290.29,223.806,188.111,220.859,213.415,92.4123,46.3423,108.059,59.5436,44.7996,73.5982,52.281,48.2553,118.872,5.90098,"horseshoe"
